global_step,episode,return,SNR,EmaSNR,AdamPlusSNR,m,v,g,pwr_noise,runtime,lr
95,0,225.0,,,,,,,,0.3438694477081299,0.0001
180,1,0.0,,,,,,,,0.5476284027099609,0.0001
288,2,200.0,,,,,,,,0.8010027408599854,0.0001
366,3,75.0,,,,,,,,1.002396821975708,0.0001
515,4,250.0,,,,,,,,1.3445563316345215,0.0001
647,5,325.0,,,,,,,,1.6438369750976562,0.0001
721,6,25.0,,,,,,,,1.8213965892791748,0.0001
830,7,200.0,,,,,,,,2.0717413425445557,0.0001
915,8,0.0,,,,,,,,2.2716383934020996,0.0001
1012,9,75.0,,,,,,,,2.492703914642334,0.0001
1107,10,75.0,,,,,,,,2.716933488845825,0.0001
1234,11,225.0,,,,,,,,3.0034918785095215,0.0001
1334,12,150.0,,,,,,,,3.242798328399658,0.0001
1444,13,125.0,,,,,,,,3.498812437057495,0.0001
1519,14,25.0,,,,,,,,3.854671001434326,0.0001
1627,15,175.0,,,,,,,,4.098634958267212,0.0001
1731,16,150.0,,,,,,,,4.357235908508301,0.0001
1871,17,325.0,,,,,,,,4.713671684265137,0.0001
1966,18,125.0,,,,,,,,4.935328722000122,0.0001
2042,19,50.0,,,,,,,,5.113925933837891,0.0001
2140,20,75.0,,,,,,,,5.338612079620361,0.0001
2271,21,225.0,,,,,,,,5.637600421905518,0.0001
2338,22,25.0,,,,,,,,5.8088109493255615,0.0001
2470,23,525.0,,,,,,,,6.101092100143433,0.0001
2565,24,50.0,,,,,,,,6.317320346832275,0.0001
2678,25,200.0,,,,,,,,6.580312490463257,0.0001
2757,26,50.0,,,,,,,,6.771535873413086,0.0001
2844,27,150.0,,,,,,,,6.973856210708618,0.0001
2942,28,125.0,,,,,,,,7.204480886459351,0.0001
3071,29,225.0,,,,,,,,7.494492769241333,0.0001
3179,30,175.0,,,,,,,,7.748378038406372,0.0001
3281,31,50.0,,,,,,,,7.9829230308532715,0.0001
3368,32,25.0,,,,,,,,8.186193943023682,0.0001
3475,33,225.0,,,,,,,,8.435589075088501,0.0001
3606,34,225.0,,,,,,,,8.731163024902344,0.0001
3727,35,150.0,,,,,,,,9.002271175384521,0.0001
3842,36,175.0,,,,,,,,9.26138973236084,0.0001
3944,37,75.0,,,,,,,,9.504838705062866,0.0001
4025,38,0.0,,,,,,,,9.70098066329956,0.0001
4121,39,100.0,,,,,,,,9.923874855041504,0.0001
4285,40,350.0,,,,,,,,10.288828134536743,0.0001
4388,41,200.0,,,,,,,,10.530247926712036,0.0001
4500,42,200.0,,,,,,,,10.78972339630127,0.0001
4591,43,75.0,,,,,,,,11.004095792770386,0.0001
4673,44,0.0,,,,,,,,11.206705570220947,0.0001
4758,45,0.0,,,,,,,,11.413378715515137,0.0001
4893,46,175.0,,,,,,,,11.723061323165894,0.0001
4970,47,75.0,,,,,,,,11.908777236938477,0.0001
5092,48,175.0,,,,,,,,12.181845426559448,0.0001
5184,49,75.0,,,,,,,,12.398472309112549,0.0001
5260,50,50.0,,,,,,,,12.579961776733398,0.0001
5366,51,75.0,,,,,,,,12.823235511779785,0.0001
5456,52,25.0,,,,,,,,13.030293226242065,0.0001
5566,53,550.0,,,,,,,,13.28747010231018,0.0001
5683,54,225.0,,,,,,,,13.55213713645935,0.0001
5774,55,100.0,,,,,,,,13.778588771820068,0.0001
5853,56,50.0,,,,,,,,13.969902753829956,0.0001
5926,57,25.0,,,,,,,,14.145265340805054,0.0001
6054,58,225.0,,,,,,,,14.439012050628662,0.0001
6164,59,175.0,,,,,,,,14.695268869400024,0.0001
6265,60,175.0,,,,,,,,14.9374418258667,0.0001
6367,61,125.0,,,,,,,,15.169813871383667,0.0001
6463,62,100.0,,,,,,,,15.393521785736084,0.0001
6567,63,100.0,,,,,,,,15.628148555755615,0.0001
6661,64,25.0,,,,,,,,15.842797040939331,0.0001
6772,65,200.0,,,,,,,,16.097670555114746,0.0001
6862,66,0.0,,,,,,,,16.303568840026855,0.0001
7018,67,650.0,,,,,,,,16.654014348983765,0.0001
7135,68,275.0,,,,,,,,16.925202131271362,0.0001
7220,69,100.0,,,,,,,,17.126619338989258,0.0001
7321,70,75.0,,,,,,,,17.352574586868286,0.0001
7419,71,100.0,,,,,,,,17.58241105079651,0.0001
7552,72,250.0,,,,,,,,17.88685965538025,0.0001
7669,73,475.0,,,,,,,,18.16076421737671,0.0001
7758,74,0.0,,,,,,,,18.364535808563232,0.0001
7906,75,600.0,,,,,,,,18.69621515274048,0.0001
7993,76,50.0,,,,,,,,18.90433955192566,0.0001
8109,77,200.0,,,,,,,,19.466480016708374,0.0001
8201,78,75.0,,,,,,,,19.78776502609253,0.0001
8303,79,100.0,,,,,,,,20.136297941207886,0.0001
8392,80,150.0,,,,,,,,20.449963092803955,0.0001
8511,81,175.0,,,,,,,,20.86647629737854,0.0001
8695,82,725.0,,,,,,,,21.491832971572876,0.0001
8787,83,125.0,,,,,,,,21.81347107887268,0.0001
8880,84,25.0,,,,,,,,22.12607479095459,0.0001
8962,85,75.0,,,,,,,,22.422422647476196,0.0001
9072,86,475.0,,,,,,,,22.807798147201538,0.0001
9180,87,125.0,,,,,,,,23.17414617538452,0.0001
9290,88,525.0,,,,,,,,23.558143377304077,0.0001
9371,89,25.0,,,,,,,,23.85446286201477,0.0001
9466,90,100.0,,,,,,,,24.183464527130127,0.0001
9564,91,75.0,,,,,,,,24.516937971115112,0.0001
9641,92,125.0,,,,,,,,24.797290802001953,0.0001
9729,93,150.0,,,,,,,,25.10869789123535,0.0001
9830,94,200.0,,,,,,,,25.452963829040527,0.0001
9935,95,100.0,,,,,,,,25.810079097747803,0.0001
10016,96,75.0,,,,,,,,26.093559741973877,0.0001
10117,97,125.0,,,,,,,,26.442729949951172,0.0001
10240,98,200.0,,,,,,,,26.87198257446289,0.0001
10333,99,100.0,,,,,,,,27.21707558631897,0.0001
10416,100,0.0,,,,,,,,27.518771409988403,0.0001
10536,101,325.0,,,,,,,,27.93983030319214,0.0001
10629,102,50.0,,,,,,,,28.277503728866577,0.0001
10721,103,100.0,,,,,,,,28.607938289642334,0.0001
10848,104,250.0,,,,,,,,29.05495309829712,0.0001
10981,105,200.0,,,,,,,,29.52776861190796,0.0001
11084,106,100.0,,,,,,,,29.888949632644653,0.0001
11181,107,150.0,,,,,,,,30.241827249526978,0.0001
11304,108,300.0,,,,,,,,30.677568912506104,0.0001
11398,109,75.0,,,,,,,,31.012325763702393,0.0001
11539,110,250.0,,,,,,,,31.499521732330322,0.0001
11635,111,50.0,,,,,,,,31.837056159973145,0.0001
11719,112,0.0,,,,,,,,32.145792722702026,0.0001
11826,113,100.0,,,,,,,,32.52120876312256,0.0001
11918,114,50.0,,,,,,,,32.85089445114136,0.0001
12021,115,125.0,,,,,,,,33.21739411354065,0.0001
12115,116,50.0,,,,,,,,33.54255270957947,0.0001
12203,117,25.0,,,,,,,,33.86404252052307,0.0001
12300,118,175.0,,,,,,,,34.212546825408936,0.0001
12397,119,175.0,,,,,,,,34.564311027526855,0.0001
12509,120,650.0,,,,,,,,34.96667766571045,0.0001
12592,121,25.0,,,,,,,,35.26441192626953,0.0001
12715,122,150.0,,,,,,,,35.6994833946228,0.0001
12804,123,150.0,,,,,,,,36.01650524139404,0.0001
12930,124,600.0,,,,,,,,36.45470333099365,0.0001
13033,125,175.0,,,,,,,,36.823599338531494,0.0001
13189,126,550.0,,,,,,,,37.3628945350647,0.0001
13283,127,100.0,,,,,,,,37.69972610473633,0.0001
13388,128,100.0,,,,,,,,38.066967487335205,0.0001
13506,129,175.0,,,,,,,,38.48417615890503,0.0001
13579,130,50.0,,,,,,,,38.763304710388184,0.0001
13693,131,100.0,,,,,,,,39.16056776046753,0.0001
13850,132,375.0,,,,,,,,39.74649524688721,0.0001
13963,133,250.0,,,,,,,,40.14996910095215,0.0001
14052,134,50.0,,,,,,,,40.48938822746277,0.0001
14205,135,200.0,,,,,,,,41.05907964706421,0.0001
14285,136,125.0,,,,,,,,41.373202085494995,0.0001
14381,137,25.0,,,,,,,,41.73850417137146,0.0001
14469,138,50.0,,,,,,,,42.07276368141174,0.0001
14565,139,300.0,,,,,,,,42.449381589889526,0.0001
14641,140,100.0,,,,,,,,42.74442410469055,0.0001
14758,141,150.0,,,,,,,,43.1653151512146,0.0001
14842,142,25.0,,,,,,,,43.48464226722717,0.0001
14925,143,0.0,,,,,,,,43.793177127838135,0.0001
15041,144,250.0,,,,,,,,44.214494943618774,0.0001
15141,145,225.0,,,,,,,,44.58036804199219,0.0001
15260,146,275.0,,,,,,,,45.01906991004944,0.0001
15368,147,475.0,,,,,,,,45.43177366256714,0.0001
15452,148,25.0,,,,,,,,45.75237703323364,0.0001
15556,149,175.0,,,,,,,,46.138131856918335,0.0001
15642,150,50.0,,,,,,,,46.45636582374573,0.0001
15730,151,0.0,,,,,,,,46.802647829055786,0.0001
15815,152,25.0,,,,,,,,47.13026714324951,0.0001
15904,153,50.0,,,,,,,,47.44899797439575,0.0001
16007,154,425.0,,,,,,,,47.81434464454651,0.0001
16134,155,200.0,,,,,,,,48.26694440841675,0.0001
16221,156,0.0,,,,,,,,48.589293003082275,0.0001
16345,157,575.0,,,,,,,,49.062880754470825,0.0001
