global_step,episode,return,SNR,EmaSNR,AdamPlusSNR,m,v,g,pwr_noise,runtime,lr
310,0,75.0,,,,,,,,0.5295357704162598,0.0001
604,1,75.0,,,,,,,,1.094897985458374,0.0001
978,2,100.0,,,,,,,,1.5656874179840088,0.0001
1250,3,0.0,,,,,,,,1.9110782146453857,0.0001
1577,4,75.0,,,,,,,,2.3204896450042725,0.0001
1880,5,75.0,,,,,,,,2.6999638080596924,0.0001
2202,6,50.0,,,,,,,,3.1070311069488525,0.0001
2494,7,50.0,,,,,,,,3.4726521968841553,0.0001
2815,8,250.0,,,,,,,,3.8775622844696045,0.0001
3152,9,100.0,,,,,,,,4.300292253494263,0.0001
3577,10,525.0,,,,,,,,4.838712930679321,0.0001
3938,11,450.0,,,,,,,,5.285593032836914,0.0001
4424,12,325.0,,,,,,,,5.885861873626709,0.0001
4774,13,100.0,,,,,,,,6.3717124462127686,0.0001
5089,14,125.0,,,,,,,,6.760721445083618,0.0001
5409,15,100.0,,,,,,,,7.206696033477783,0.0001
5866,16,325.0,,,,,,,,7.767822265625,0.0001
6184,17,100.0,,,,,,,,8.17865252494812,0.0001
6500,18,50.0,,,,,,,,8.568607807159424,0.0001
6846,19,200.0,,,,,,,,9.03436017036438,0.0001
7139,20,50.0,,,,,,,,9.396445512771606,0.0001
7411,21,0.0,,,,,,,,9.731089353561401,0.0001
7675,22,75.0,,,,,,,,10.067630529403687,0.0001
7975,23,50.0,,,,,,,,10.457443952560425,0.0001
8325,24,450.0,,,,,,,,10.889130592346191,0.0001
8641,25,50.0,,,,,,,,11.281794548034668,0.0001
8981,26,175.0,,,,,,,,11.704103469848633,0.0001
9278,27,50.0,,,,,,,,12.07675051689148,0.0001
9577,28,75.0,,,,,,,,12.449233531951904,0.0001
9933,29,125.0,,,,,,,,12.897001028060913,0.0001
10238,30,125.0,,,,,,,,13.29213261604309,0.0001
10560,31,75.0,,,,,,,,13.691709518432617,0.0001
10873,32,150.0,,,,,,,,14.081193923950195,0.0001
11175,33,75.0,,,,,,,,14.453288555145264,0.0001
11502,34,200.0,,,,,,,,14.854736804962158,0.0001
11771,35,125.0,,,,,,,,15.23843765258789,0.0001
12146,36,350.0,,,,,,,,15.79296612739563,0.0001
12381,37,25.0,,,,,,,,16.152977466583252,0.0001
12742,38,125.0,,,,,,,,16.693812608718872,0.0001
13088,39,125.0,,,,,,,,17.217993021011353,0.0001
13378,40,50.0,,,,,,,,17.656261444091797,0.0001
13698,41,250.0,,,,,,,,18.23027753829956,0.0001
13963,42,125.0,,,,,,,,18.603423833847046,0.0001
14246,43,0.0,,,,,,,,19.016984224319458,0.0001
14640,44,250.0,,,,,,,,19.535916566848755,0.0001
15015,45,250.0,,,,,,,,20.03239393234253,0.0001
15348,46,150.0,,,,,,,,20.471765995025635,0.0001
15765,47,300.0,,,,,,,,21.014894485473633,0.0001
16203,48,300.0,,,,,,,,21.62200164794922,0.0001
16476,49,0.0,,,,,,,,22.030354022979736,0.0001
16789,50,200.0,,,,,,,,22.48839783668518,0.0001
17097,51,75.0,,,,,,,,22.94281816482544,0.0001
17515,52,325.0,,,,,,,,23.537639617919922,0.0001
17943,53,175.0,,,,,,,,24.14692258834839,0.0001
18229,54,25.0,,,,,,,,24.566627264022827,0.0001
18586,55,175.0,,,,,,,,25.038297176361084,0.0001
19007,56,175.0,,,,,,,,25.611147165298462,0.0001
19347,57,125.0,,,,,,,,26.07667374610901,0.0001
19670,58,75.0,,,,,,,,26.51241159439087,0.0001
20151,59,700.0,,,,,,,,27.14981198310852,0.0001
20432,60,25.0,,,,,,,,27.527175188064575,0.0001
20739,61,75.0,,,,,,,,27.951923370361328,0.0001
21004,62,100.0,,,,,,,,28.360474824905396,0.0001
21276,63,100.0,,,,,,,,28.788350343704224,0.0001
21616,64,200.0,,,,,,,,29.25296711921692,0.0001
21895,65,0.0,,,,,,,,29.628971099853516,0.0001
22184,66,25.0,,,,,,,,30.023558378219604,0.0001
22479,67,100.0,,,,,,,,30.42746591567993,0.0001
22819,68,100.0,,,,,,,,30.884769916534424,0.0001
23098,69,0.0,,,,,,,,31.266849040985107,0.0001
23360,70,100.0,,,,,,,,31.624513149261475,0.0001
23735,71,250.0,,,,,,,,32.123684883117676,0.0001
24029,72,50.0,,,,,,,,32.52154326438904,0.0001
24381,73,75.0,,,,,,,,32.99584197998047,0.0001
24668,74,25.0,,,,,,,,33.38948106765747,0.0001
24946,75,25.0,,,,,,,,33.770386695861816,0.0001
25395,76,325.0,,,,,,,,34.38447546958923,0.0001
25673,77,0.0,,,,,,,,34.76629948616028,0.0001
25907,78,25.0,,,,,,,,35.089884996414185,0.0001
26249,79,125.0,,,,,,,,35.55624866485596,0.0001
26688,80,225.0,,,,,,,,36.14178419113159,0.0001
27014,81,325.0,,,,,,,,36.58163809776306,0.0001
27377,82,200.0,,,,,,,,37.07132816314697,0.0001
27646,83,0.0,,,,,,,,37.443058252334595,0.0001
27919,84,75.0,,,,,,,,37.81517291069031,0.0001
28244,85,150.0,,,,,,,,38.267948150634766,0.0001
28552,86,125.0,,,,,,,,38.694085121154785,0.0001
28853,87,75.0,,,,,,,,39.098647356033325,0.0001
29161,88,100.0,,,,,,,,39.51499152183533,0.0001
29480,89,75.0,,,,,,,,39.94712424278259,0.0001
29847,90,200.0,,,,,,,,40.44690203666687,0.0001
30275,91,225.0,,,,,,,,41.02131199836731,0.0001
30557,92,0.0,,,,,,,,41.433286905288696,0.0001
30881,93,150.0,,,,,,,,41.87503933906555,0.0001
31171,94,50.0,,,,,,,,42.27939200401306,0.0001
31456,95,100.0,,,,,,,,42.67823934555054,0.0001
31828,96,550.0,,,,,,,,43.185988426208496,0.0001
32159,97,125.0,,,,,,,,43.63926887512207,0.0001
32480,98,100.0,,,,,,,,44.07386326789856,0.0001
32797,99,100.0,,,,,,,,44.51252341270447,0.0001
33035,100,50.0,,,,,,,,44.840450286865234,0.0001
33304,101,100.0,,,,,,,,45.21985864639282,0.0001
33610,102,100.0,,,,,,,,45.641982078552246,0.0001
33897,103,50.0,,,,,,,,46.04019284248352,0.0001
34184,104,175.0,,,,,,,,46.44118142127991,0.0001
34455,105,0.0,,,,,,,,46.82245445251465,0.0001
34771,106,250.0,,,,,,,,47.261210918426514,0.0001
35077,107,100.0,,,,,,,,47.67855405807495,0.0001
35463,108,325.0,,,,,,,,48.215351819992065,0.0001
35801,109,175.0,,,,,,,,48.673707008361816,0.0001
36094,110,50.0,,,,,,,,49.07227635383606,0.0001
36472,111,250.0,,,,,,,,49.6485333442688,0.0001
36730,112,75.0,,,,,,,,50.00731945037842,0.0001
37073,113,200.0,,,,,,,,50.47445774078369,0.0001
