global_step,episode,return,SNR,EmaSNR,AdamPlusSNR,m,v,g,pwr_noise,runtime,lr
310,0,75.0,,,,,,,,0.5836193561553955,0.0001
604,1,75.0,,,,,,,,1.2629938125610352,0.0001
978,2,100.0,,,,,,,,1.810312271118164,0.0001
1250,3,0.0,,,,,,,,2.2071425914764404,0.0001
1577,4,75.0,,,,,,,,2.703909158706665,0.0001
1880,5,75.0,,,,,,,,3.1848130226135254,0.0001
2202,6,50.0,,,,,,,,3.685443162918091,0.0001
2494,7,50.0,,,,,,,,4.131945371627808,0.0001
2815,8,250.0,,,,,,,,4.631329298019409,0.0001
3152,9,100.0,,,,,,,,5.150190114974976,0.0001
3577,10,525.0,,,,,,,,5.781976938247681,0.0001
3938,11,450.0,,,,,,,,6.353976488113403,0.0001
4424,12,325.0,,,,,,,,7.031908273696899,0.0001
4774,13,100.0,,,,,,,,7.5419762134552,0.0001
5089,14,125.0,,,,,,,,7.977436304092407,0.0001
5409,15,100.0,,,,,,,,8.444264888763428,0.0001
5866,16,325.0,,,,,,,,9.11472773551941,0.0001
6184,17,100.0,,,,,,,,9.593588590621948,0.0001
6500,18,50.0,,,,,,,,10.048113107681274,0.0001
6846,19,200.0,,,,,,,,10.53572392463684,0.0001
7139,20,50.0,,,,,,,,10.935558795928955,0.0001
7411,21,0.0,,,,,,,,11.354499101638794,0.0001
7675,22,75.0,,,,,,,,11.767990112304688,0.0001
7975,23,50.0,,,,,,,,12.180741548538208,0.0001
8325,24,450.0,,,,,,,,12.658552885055542,0.0001
8641,25,50.0,,,,,,,,13.096535921096802,0.0001
8981,26,175.0,,,,,,,,13.568769216537476,0.0001
9278,27,50.0,,,,,,,,13.973632574081421,0.0001
9577,28,75.0,,,,,,,,14.384026288986206,0.0001
9933,29,125.0,,,,,,,,14.871285676956177,0.0001
10238,30,125.0,,,,,,,,15.294824123382568,0.0001
10560,31,75.0,,,,,,,,15.741746187210083,0.0001
10873,32,150.0,,,,,,,,16.17472004890442,0.0001
11175,33,75.0,,,,,,,,16.587867736816406,0.0001
11502,34,200.0,,,,,,,,17.034648180007935,0.0001
11771,35,125.0,,,,,,,,17.404417037963867,0.0001
12146,36,350.0,,,,,,,,17.92196798324585,0.0001
12381,37,25.0,,,,,,,,18.247426986694336,0.0001
12742,38,125.0,,,,,,,,18.74346399307251,0.0001
13088,39,125.0,,,,,,,,19.21386480331421,0.0001
13378,40,50.0,,,,,,,,19.624885320663452,0.0001
13698,41,250.0,,,,,,,,20.062133312225342,0.0001
13963,42,125.0,,,,,,,,20.444390773773193,0.0001
14246,43,0.0,,,,,,,,20.879034757614136,0.0001
14640,44,250.0,,,,,,,,21.42139768600464,0.0001
15015,45,250.0,,,,,,,,21.942779064178467,0.0001
15348,46,150.0,,,,,,,,22.399479627609253,0.0001
15765,47,300.0,,,,,,,,22.96738862991333,0.0001
16203,48,300.0,,,,,,,,23.601200580596924,0.0001
16476,49,0.0,,,,,,,,24.02650284767151,0.0001
16789,50,200.0,,,,,,,,24.470267057418823,0.0001
17097,51,75.0,,,,,,,,24.895747900009155,0.0001
17515,52,325.0,,,,,,,,25.52125906944275,0.0001
17943,53,175.0,,,,,,,,26.119791746139526,0.0001
18229,54,25.0,,,,,,,,26.5575168132782,0.0001
18586,55,175.0,,,,,,,,27.049920558929443,0.0001
19007,56,175.0,,,,,,,,27.627933979034424,0.0001
