global_step,episode,return,SNR,EmaSNR,AdamPlusSNR,m,v,g,pwr_noise,runtime,lr
371,0,175.0,,,,,,,,1.0497336387634277,0.0001
605,1,25.0,,,,,,,,1.7459511756896973,0.0001
981,2,225.0,,,,,,,,2.7257299423217773,0.0001
1280,3,75.0,,,,,,,,3.312620162963867,0.0001
1569,4,100.0,,,,,,,,4.38643479347229,0.0001
1911,5,200.0,,,,,,,,5.339658737182617,0.0001
2267,6,175.0,,,,,,,,5.9982805252075195,0.0001
2573,7,75.0,,,,,,,,6.742102384567261,0.0001
2853,8,125.0,,,,,,,,7.135269641876221,0.0001
3141,9,25.0,,,,,,,,7.578782796859741,0.0001
3469,10,75.0,,,,,,,,8.169344663619995,0.0001
3752,11,50.0,,,,,,,,8.878401756286621,0.0001
4049,12,50.0,,,,,,,,9.54879903793335,0.0001
4330,13,0.0,,,,,,,,10.059974193572998,0.0001
4626,14,75.0,,,,,,,,10.482602596282959,0.0001
4936,15,75.0,,,,,,,,11.058419227600098,0.0001
5227,16,50.0,,,,,,,,11.79565715789795,0.0001
5477,17,50.0,,,,,,,,12.206003665924072,0.0001
5839,18,425.0,,,,,,,,12.820050239562988,0.0001
6205,19,275.0,,,,,,,,13.560232877731323,0.0001
6500,20,100.0,,,,,,,,14.059715747833252,0.0001
6855,21,525.0,,,,,,,,14.556157350540161,0.0001
7199,22,100.0,,,,,,,,15.14878225326538,0.0001
7524,23,75.0,,,,,,,,15.782111883163452,0.0001
7852,24,100.0,,,,,,,,16.588362455368042,0.0001
8188,25,425.0,,,,,,,,17.39994740486145,0.0001
8481,26,175.0,,,,,,,,18.317323923110962,0.0001
8790,27,150.0,,,,,,,,18.943103313446045,0.0001
9027,28,50.0,,,,,,,,19.455342292785645,0.0001
9387,29,225.0,,,,,,,,20.175310611724854,0.0001
9680,30,50.0,,,,,,,,20.877453565597534,0.0001
9976,31,50.0,,,,,,,,21.48775577545166,0.0001
10298,32,100.0,,,,,,,,22.320160388946533,0.0001
10607,33,100.0,,,,,,,,22.885905027389526,0.0001
10900,34,25.0,,,,,,,,23.3411602973938,0.0001
11136,35,50.0,,,,,,,,23.765530586242676,0.0001
11510,36,200.0,,,,,,,,24.789177417755127,0.0001
11978,37,400.0,,,,,,,,25.515010356903076,0.0001
12263,38,50.0,,,,,,,,26.15804123878479,0.0001
12593,39,200.0,,,,,,,,26.803734064102173,0.0001
12956,40,275.0,,,,,,,,27.54494881629944,0.0001
13227,41,0.0,,,,,,,,28.253449201583862,0.0001
13533,42,75.0,,,,,,,,28.738053798675537,0.0001
13902,43,175.0,,,,,,,,29.345022439956665,0.0001
14220,44,100.0,,,,,,,,30.017816305160522,0.0001
14507,45,50.0,,,,,,,,30.77778172492981,0.0001
14829,46,100.0,,,,,,,,31.297606945037842,0.0001
15096,47,75.0,,,,,,,,31.991504669189453,0.0001
15380,48,175.0,,,,,,,,32.65997290611267,0.0001
15754,49,175.0,,,,,,,,33.52911615371704,0.0001
16152,50,300.0,,,,,,,,34.549662828445435,0.0001
16442,51,225.0,,,,,,,,35.277634620666504,0.0001
16752,52,175.0,,,,,,,,36.097087144851685,0.0001
17034,53,25.0,,,,,,,,36.66571545600891,0.0001
17422,54,525.0,,,,,,,,37.36694359779358,0.0001
17860,55,250.0,,,,,,,,38.43365550041199,0.0001
18219,56,225.0,,,,,,,,39.118008613586426,0.0001
18497,57,100.0,,,,,,,,39.65891098976135,0.0001
18838,58,200.0,,,,,,,,40.24528694152832,0.0001
19197,59,250.0,,,,,,,,40.88359713554382,0.0001
19479,60,0.0,,,,,,,,41.28645658493042,0.0001
19774,61,50.0,,,,,,,,41.783894300460815,0.0001
20080,62,200.0,,,,,,,,42.31952357292175,0.0001
20485,63,175.0,,,,,,,,43.48148250579834,0.0001
20862,64,125.0,,,,,,,,44.43103528022766,0.0001
21160,65,100.0,,,,,,,,44.86721920967102,0.0001
21449,66,100.0,,,,,,,,45.630659103393555,0.0001
21841,67,225.0,,,,,,,,46.468931913375854,0.0001
22156,68,225.0,,,,,,,,47.25545358657837,0.0001
22635,69,575.0,,,,,,,,48.12765383720398,0.0001
22910,70,0.0,,,,,,,,48.78646969795227,0.0001
23242,71,250.0,,,,,,,,49.49606466293335,0.0001
23525,72,50.0,,,,,,,,49.90236759185791,0.0001
24000,73,350.0,,,,,,,,50.90786385536194,0.0001
24294,74,50.0,,,,,,,,51.50432062149048,0.0001
24568,75,0.0,,,,,,,,52.062395334243774,0.0001
25015,76,575.0,,,,,,,,53.08846187591553,0.0001
25425,77,200.0,,,,,,,,53.80491280555725,0.0001
25822,78,250.0,,,,,,,,54.47170686721802,0.0001
26108,79,25.0,,,,,,,,55.06123733520508,0.0001
26402,80,50.0,,,,,,,,55.50684213638306,0.0001
26743,81,125.0,,,,,,,,55.99103021621704,0.0001
27224,82,525.0,,,,,,,,56.93515658378601,0.0001
27692,83,300.0,,,,,,,,58.18980598449707,0.0001
28062,84,500.0,,,,,,,,58.995802879333496,0.0001
28427,85,250.0,,,,,,,,59.72444772720337,0.0001
28711,86,50.0,,,,,,,,60.2659649848938,0.0001
29208,87,325.0,,,,,,,,61.49734044075012,0.0001
29476,88,150.0,,,,,,,,62.0456120967865,0.0001
29907,89,250.0,,,,,,,,63.14873695373535,0.0001
30334,90,225.0,,,,,,,,64.21170210838318,0.0001
30656,91,125.0,,,,,,,,64.68375420570374,0.0001
30951,92,50.0,,,,,,,,65.47364234924316,0.0001
31229,93,100.0,,,,,,,,65.86942791938782,0.0001
31517,94,125.0,,,,,,,,66.58546113967896,0.0001
31831,95,175.0,,,,,,,,67.2806339263916,0.0001
32113,96,25.0,,,,,,,,67.88212895393372,0.0001
32422,97,75.0,,,,,,,,68.40901970863342,0.0001
32734,98,175.0,,,,,,,,69.06075072288513,0.0001
33025,99,175.0,,,,,,,,69.86407160758972,0.0001
33313,100,25.0,,,,,,,,70.44862341880798,0.0001
33748,101,275.0,,,,,,,,71.61527061462402,0.0001
34102,102,200.0,,,,,,,,72.48080778121948,0.0001
34460,103,200.0,,,,,,,,73.21598935127258,0.0001
34841,104,225.0,,,,,,,,73.95500373840332,0.0001
35235,105,650.0,,,,,,,,74.86482262611389,0.0001
35562,106,200.0,,,,,,,,75.48030138015747,0.0001
35943,107,200.0,,,,,,,,76.11342024803162,0.0001
36190,108,75.0,,,,,,,,76.47985768318176,0.0001
36474,109,175.0,,,,,,,,76.91476702690125,0.0001
36757,110,0.0,,,,,,,,77.5800268650055,0.0001
37138,111,300.0,,,,,,,,78.46038174629211,0.0001
37378,112,50.0,,,,,,,,79.15646433830261,0.0001
37688,113,75.0,,,,,,,,79.89183926582336,0.0001
38043,114,275.0,,,,,,,,80.39876222610474,0.0001
38400,115,300.0,,,,,,,,81.08083415031433,0.0001
38691,116,25.0,,,,,,,,81.64250326156616,0.0001
38998,117,75.0,,,,,,,,82.38550400733948,0.0001
39370,118,250.0,,,,,,,,83.16042470932007,0.0001
39652,119,25.0,,,,,,,,83.8161141872406,0.0001
40085,120,325.0,,,,,,,,84.84377813339233,0.0001
40367,121,125.0,,,,,,,,85.3757791519165,0.0001
40603,122,50.0,,,,,,,,85.94138479232788,0.0001
40880,123,75.0,,,,,,,,86.73771095275879,0.0001
41177,124,225.0,,,,,,,,87.65573382377625,0.0001
41507,125,125.0,,,,,,,,88.3684618473053,0.0001
41825,126,275.0,,,,,,,,89.2153069972992,0.0001
42257,127,225.0,,,,,,,,90.01020956039429,0.0001
42601,128,250.0,,,,,,,,90.93478202819824,0.0001
42873,129,0.0,,,,,,,,91.59133982658386,0.0001
43217,130,125.0,,,,,,,,92.33430004119873,0.0001
43501,131,50.0,,,,,,,,93.0983054637909,0.0001
43874,132,175.0,,,,,,,,93.99544596672058,0.0001
44204,133,150.0,,,,,,,,94.86608505249023,0.0001
44497,134,125.0,,,,,,,,95.51529002189636,0.0001
44795,135,50.0,,,,,,,,96.09107303619385,0.0001
45078,136,75.0,,,,,,,,96.53226137161255,0.0001
45443,137,225.0,,,,,,,,97.4933385848999,0.0001
45754,138,125.0,,,,,,,,98.36628413200378,0.0001
46057,139,75.0,,,,,,,,98.84627175331116,0.0001
46333,140,0.0,,,,,,,,99.34272170066833,0.0001
46655,141,125.0,,,,,,,,100.20533967018127,0.0001
46976,142,175.0,,,,,,,,100.95106935501099,0.0001
47370,143,250.0,,,,,,,,101.57048153877258,0.0001
47678,144,75.0,,,,,,,,102.31971001625061,0.0001
48228,145,900.0,,,,,,,,103.57234048843384,0.0001
48540,146,150.0,,,,,,,,104.06763935089111,0.0001
48899,147,100.0,,,,,,,,104.91710305213928,0.0001
49253,148,100.0,,,,,,,,105.75616431236267,0.0001
49540,149,50.0,,,,,,,,106.5038411617279,0.0001
49820,150,25.0,,,,,,,,107.18888688087463,0.0001
50069,151,50.0,,,,,,,,107.8813271522522,0.0001
50435,152,200.0,,,,,,,,108.8186764717102,0.0001
50756,153,100.0,,,,,,,,109.59372878074646,0.0001
51139,154,200.0,,,,,,,,110.57732701301575,0.0001
51441,155,125.0,,,,,,,,111.24433207511902,0.0001
51771,156,100.0,,,,,,,,112.0743818283081,0.0001
52058,157,25.0,,,,,,,,112.64548921585083,0.0001
52343,158,50.0,,,,,,,,113.37839770317078,0.0001
52764,159,700.0,,,,,,,,114.1576554775238,0.0001
53167,160,350.0,,,,,,,,115.01217865943909,0.0001
53526,161,150.0,,,,,,,,115.88514590263367,0.0001
53834,162,175.0,,,,,,,,116.63121604919434,0.0001
54302,163,375.0,,,,,,,,117.65679407119751,0.0001
54657,164,200.0,,,,,,,,118.31565141677856,0.0001
54956,165,50.0,,,,,,,,118.94234466552734,0.0001
55255,166,50.0,,,,,,,,119.44705033302307,0.0001
55556,167,75.0,,,,,,,,119.9869749546051,0.0001
55843,168,50.0,,,,,,,,120.57610774040222,0.0001
56146,169,100.0,,,,,,,,121.29950785636902,0.0001
56540,170,575.0,,,,,,,,122.24068331718445,0.0001
56855,171,75.0,,,,,,,,122.81256222724915,0.0001
57154,172,125.0,,,,,,,,123.25477933883667,0.0001
57443,173,200.0,,,,,,,,123.7875566482544,0.0001
57727,174,100.0,,,,,,,,124.35837578773499,0.0001
58100,175,200.0,,,,,,,,125.34918570518494,0.0001
58375,176,0.0,,,,,,,,126.06642460823059,0.0001
58653,177,0.0,,,,,,,,126.57454657554626,0.0001
58950,178,200.0,,,,,,,,127.36384654045105,0.0001
59242,179,75.0,,,,,,,,128.08323526382446,0.0001
59551,180,75.0,,,,,,,,128.6859278678894,0.0001
59828,181,25.0,,,,,,,,129.27863883972168,0.0001
60307,182,750.0,,,,,,,,130.1595549583435,0.0001
60596,183,25.0,,,,,,,,130.68278741836548,0.0001
60887,184,50.0,,,,,,,,131.3716700077057,0.0001
61428,185,675.0,,,,,,,,132.7077443599701,0.0001
61726,186,75.0,,,,,,,,133.30058574676514,0.0001
61996,187,0.0,,,,,,,,133.7564136981964,0.0001
62257,188,100.0,,,,,,,,134.3034863471985,0.0001
62622,189,450.0,,,,,,,,134.82928562164307,0.0001
62887,190,75.0,,,,,,,,135.37949752807617,0.0001
63256,191,225.0,,,,,,,,135.90939140319824,0.0001
63514,192,75.0,,,,,,,,136.3056936264038,0.0001
63901,193,225.0,,,,,,,,136.87213921546936,0.0001
64183,194,0.0,,,,,,,,137.46892762184143,0.0001
64492,195,75.0,,,,,,,,138.2185573577881,0.0001
64802,196,150.0,,,,,,,,139.10236406326294,0.0001
65208,197,275.0,,,,,,,,140.14261174201965,0.0001
65715,198,400.0,,,,,,,,141.45006561279297,0.0001
66062,199,200.0,,,,,,,,142.11816692352295,0.0001
66355,200,150.0,,,,,,,,142.8226625919342,0.0001
66679,201,75.0,,,,,,,,143.31679153442383,0.0001
67048,202,150.0,,,,,,,,143.87864637374878,0.0001
67407,203,125.0,,,,,,,,144.85071778297424,0.0001
67646,204,50.0,,,,,,,,145.43703246116638,0.0001
67897,205,125.0,,,,,,,,146.02394723892212,0.0001
68251,206,175.0,,,,,,,,146.7088658809662,0.0001
68586,207,175.0,,,,,,,,147.61368560791016,0.0001
68986,208,150.0,,,,,,,,148.38764572143555,0.0001
69307,209,200.0,,,,,,,,148.93688702583313,0.0001
69589,210,50.0,,,,,,,,149.5235619544983,0.0001
69900,211,75.0,,,,,,,,150.3144085407257,0.0001
70152,212,100.0,,,,,,,,150.71230363845825,0.0001
70510,213,175.0,,,,,,,,151.34972023963928,0.0001
70784,214,75.0,,,,,,,,152.10398817062378,0.0001
71052,215,75.0,,,,,,,,152.88806343078613,0.0001
71411,216,275.0,,,,,,,,153.75985670089722,0.0001
71774,217,200.0,,,,,,,,154.7053577899933,0.0001
72122,218,250.0,,,,,,,,155.44312238693237,0.0001
72448,219,150.0,,,,,,,,156.35792565345764,0.0001
72900,220,250.0,,,,,,,,157.33485555648804,0.0001
73178,221,150.0,,,,,,,,157.86252117156982,0.0001
73625,222,575.0,,,,,,,,158.54185676574707,0.0001
73912,223,25.0,,,,,,,,159.29291248321533,0.0001
74260,224,150.0,,,,,,,,160.1293342113495,0.0001
74548,225,150.0,,,,,,,,160.55736827850342,0.0001
74781,226,25.0,,,,,,,,160.9031116962433,0.0001
75098,227,100.0,,,,,,,,161.5839455127716,0.0001
75428,228,175.0,,,,,,,,162.31880807876587,0.0001
75804,229,175.0,,,,,,,,162.99945616722107,0.0001
76092,230,50.0,,,,,,,,163.89036011695862,0.0001
76385,231,25.0,,,,,,,,164.59469056129456,0.0001
76646,232,50.0,,,,,,,,165.29350686073303,0.0001
76928,233,150.0,,,,,,,,165.97174167633057,0.0001
77221,234,175.0,,,,,,,,166.5847065448761,0.0001
77491,235,0.0,,,,,,,,167.17546916007996,0.0001
77814,236,175.0,,,,,,,,168.05662775039673,0.0001
78127,237,100.0,,,,,,,,169.0233335494995,0.0001
78485,238,250.0,,,,,,,,169.90693998336792,0.0001
78845,239,250.0,,,,,,,,170.57356810569763,0.0001
79426,240,350.0,,,,,,,,171.88703870773315,0.0001
79880,241,325.0,,,,,,,,172.92868828773499,0.0001
80190,242,150.0,,,,,,,,173.6709897518158,0.0001
80474,243,75.0,,,,,,,,174.25051593780518,0.0001
80778,244,75.0,,,,,,,,174.97137641906738,0.0001
81074,245,125.0,,,,,,,,175.73441004753113,0.0001
81355,246,125.0,,,,,,,,176.4655613899231,0.0001
81700,247,125.0,,,,,,,,177.39800667762756,0.0001
81977,248,0.0,,,,,,,,178.1712942123413,0.0001
82404,249,300.0,,,,,,,,179.36534976959229,0.0001
82801,250,250.0,,,,,,,,180.7066764831543,0.0001
83075,251,0.0,,,,,,,,181.38904523849487,0.0001
83393,252,125.0,,,,,,,,182.1384892463684,0.0001
83805,253,250.0,,,,,,,,183.26816940307617,0.0001
84222,254,250.0,,,,,,,,184.0476939678192,0.0001
84499,255,25.0,,,,,,,,184.79075741767883,0.0001
84923,256,300.0,,,,,,,,185.683673620224,0.0001
85203,257,75.0,,,,,,,,186.26307940483093,0.0001
85469,258,175.0,,,,,,,,186.6599531173706,0.0001
85740,259,175.0,,,,,,,,187.16473507881165,0.0001
86061,260,200.0,,,,,,,,187.83859705924988,0.0001
86412,261,225.0,,,,,,,,188.6461536884308,0.0001
86795,262,200.0,,,,,,,,189.63145899772644,0.0001
87062,263,175.0,,,,,,,,190.4910168647766,0.0001
87377,264,125.0,,,,,,,,191.46047711372375,0.0001
87669,265,50.0,,,,,,,,192.22923350334167,0.0001
88015,266,275.0,,,,,,,,192.87849926948547,0.0001
88296,267,25.0,,,,,,,,193.63683342933655,0.0001
88569,268,150.0,,,,,,,,194.24000144004822,0.0001
88908,269,125.0,,,,,,,,195.0289182662964,0.0001
89351,270,525.0,,,,,,,,195.93348121643066,0.0001
89680,271,150.0,,,,,,,,196.5123963356018,0.0001
89934,272,50.0,,,,,,,,197.16059684753418,0.0001
90339,273,350.0,,,,,,,,198.04960107803345,0.0001
90649,274,150.0,,,,,,,,198.79060983657837,0.0001
90943,275,125.0,,,,,,,,199.52894067764282,0.0001
91223,276,50.0,,,,,,,,200.0238561630249,0.0001
91617,277,250.0,,,,,,,,200.8509657382965,0.0001
91910,278,25.0,,,,,,,,201.4376711845398,0.0001
92236,279,200.0,,,,,,,,202.12238717079163,0.0001
