global_step,episode,return,SNR,EmaSNR,AdamPlusSNR,m,v,g,pwr_noise,runtime,lr
292,0,50.0,,,,,,,,0.48099374771118164,0.0001
592,1,150.0,,,,,,,,1.1752583980560303,0.0001
876,2,100.0,,,,,,,,1.5204007625579834,0.0001
1196,3,75.0,,,,,,,,1.911703109741211,0.0001
1470,4,0.0,,,,,,,,2.2464330196380615,0.0001
1758,5,125.0,,,,,,,,2.601824998855591,0.0001
2093,6,150.0,,,,,,,,3.0216610431671143,0.0001
2439,7,150.0,,,,,,,,3.462414264678955,0.0001
2833,8,525.0,,,,,,,,3.9393770694732666,0.0001
3184,9,525.0,,,,,,,,4.371558904647827,0.0001
3514,10,125.0,,,,,,,,4.775389194488525,0.0001
3833,11,125.0,,,,,,,,5.170453786849976,0.0001
4119,12,25.0,,,,,,,,5.5251219272613525,0.0001
4456,13,125.0,,,,,,,,5.943311929702759,0.0001
4768,14,75.0,,,,,,,,6.334086179733276,0.0001
5158,15,275.0,,,,,,,,6.8147876262664795,0.0001
5480,16,100.0,,,,,,,,7.210277557373047,0.0001
5777,17,25.0,,,,,,,,7.580383539199829,0.0001
6072,18,50.0,,,,,,,,7.96529483795166,0.0001
6393,19,125.0,,,,,,,,8.370482444763184,0.0001
6783,20,425.0,,,,,,,,8.882792234420776,0.0001
7136,21,225.0,,,,,,,,9.337981224060059,0.0001
7416,22,0.0,,,,,,,,9.69232988357544,0.0001
7759,23,425.0,,,,,,,,10.124271392822266,0.0001
8075,24,100.0,,,,,,,,10.514500856399536,0.0001
8419,25,600.0,,,,,,,,10.948904991149902,0.0001
8741,26,125.0,,,,,,,,11.350823163986206,0.0001
9024,27,50.0,,,,,,,,11.709301471710205,0.0001
9322,28,50.0,,,,,,,,12.08119535446167,0.0001
9640,29,150.0,,,,,,,,12.476876020431519,0.0001
9929,30,50.0,,,,,,,,12.835206747055054,0.0001
10224,31,50.0,,,,,,,,13.198160886764526,0.0001
10496,32,175.0,,,,,,,,13.535844087600708,0.0001
10791,33,50.0,,,,,,,,13.901925802230835,0.0001
11084,34,75.0,,,,,,,,14.267140865325928,0.0001
11368,35,25.0,,,,,,,,14.622114181518555,0.0001
11767,36,575.0,,,,,,,,15.112430810928345,0.0001
12055,37,25.0,,,,,,,,15.473846673965454,0.0001
12332,38,25.0,,,,,,,,15.827932119369507,0.0001
12630,39,50.0,,,,,,,,16.20678949356079,0.0001
12933,40,250.0,,,,,,,,16.59117865562439,0.0001
13206,41,0.0,,,,,,,,16.94023060798645,0.0001
13519,42,50.0,,,,,,,,17.335203647613525,0.0001
