global_step,episode,return,SNR,EmaSNR,AdamPlusSNR,m,v,g,pwr_noise,runtime,lr
1029,0,280.0,,,,,,,,1.7116138935089111,0.0001
1774,1,200.0,,,,,,,,2.6691067218780518,0.0001
2226,2,100.0,,,,,,,,3.23323655128479,0.0001
2726,3,80.0,,,,,,,,3.858423948287964,0.0001
3293,4,100.0,,,,,,,,4.56667160987854,0.0001
3595,5,0.0,,,,,,,,4.978457927703857,0.0001
4049,6,80.0,,,,,,,,5.54925799369812,0.0001
4507,7,60.0,,,,,,,,6.133127450942993,0.0001
5046,8,60.0,,,,,,,,6.885620594024658,0.0001
5471,9,40.0,,,,,,,,7.443294286727905,0.0001
6110,10,120.0,,,,,,,,8.274909496307373,0.0001
6723,11,60.0,,,,,,,,9.080082416534424,0.0001
7051,12,0.0,,,,,,,,9.510067701339722,0.0001
7436,13,40.0,,,,,,,,10.016296148300171,0.0001
7840,14,40.0,,,,,,,,10.585169076919556,0.0001
8205,15,0.0,,,,,,,,11.13118052482605,0.0001
8651,16,80.0,,,,,,,,11.71834135055542,0.0001
9212,17,100.0,,,,,,,,12.45076584815979,0.0001
9539,18,20.0,,,,,,,,12.927106142044067,0.0001
9994,19,80.0,,,,,,,,13.52427625656128,0.0001
10309,20,0.0,,,,,,,,13.941656589508057,0.0001
10944,21,120.0,,,,,,,,14.785776376724243,0.0001
11348,22,40.0,,,,,,,,15.326089859008789,0.0001
11831,23,80.0,,,,,,,,15.9638352394104,0.0001
12442,24,60.0,,,,,,,,16.763518571853638,0.0001
12841,25,20.0,,,,,,,,17.322863578796387,0.0001
13128,26,0.0,,,,,,,,17.700841903686523,0.0001
13461,27,0.0,,,,,,,,18.141549825668335,0.0001
14033,28,120.0,,,,,,,,18.97583270072937,0.0001
14446,29,20.0,,,,,,,,19.530650854110718,0.0001
14791,30,20.0,,,,,,,,19.985603094100952,0.0001
15302,31,100.0,,,,,,,,20.707848072052002,0.0001
16039,32,180.0,,,,,,,,21.674508094787598,0.0001
16611,33,120.0,,,,,,,,22.431232452392578,0.0001
16961,34,0.0,,,,,,,,22.900418281555176,0.0001
17476,35,140.0,,,,,,,,23.594443798065186,0.0001
17909,36,40.0,,,,,,,,24.173027753829956,0.0001
18255,37,40.0,,,,,,,,24.63568949699402,0.0001
18707,38,20.0,,,,,,,,25.247676610946655,0.0001
19108,39,20.0,,,,,,,,25.852048635482788,0.0001
19674,40,120.0,,,,,,,,26.60763692855835,0.0001
20162,41,40.0,,,,,,,,27.3469660282135,0.0001
20692,42,80.0,,,,,,,,28.140358209609985,0.0001
21391,43,100.0,,,,,,,,29.199804544448853,0.0001
21752,44,40.0,,,,,,,,29.74278736114502,0.0001
22103,45,0.0,,,,,,,,30.278380870819092,0.0001
22495,46,0.0,,,,,,,,30.855945825576782,0.0001
23021,47,40.0,,,,,,,,31.65150737762451,0.0001
23404,48,60.0,,,,,,,,32.162922620773315,0.0001
23859,49,40.0,,,,,,,,32.84242796897888,0.0001
24296,50,40.0,,,,,,,,33.43050265312195,0.0001
24662,51,40.0,,,,,,,,33.9250111579895,0.0001
25081,52,20.0,,,,,,,,34.49032282829285,0.0001
25812,53,140.0,,,,,,,,35.45598530769348,0.0001
26328,54,80.0,,,,,,,,36.15040302276611,0.0001
