global_step,episode,return,SNR,EmaSNR,AdamPlusSNR,m,v,g,pwr_noise,runtime,lr
552,0,80.0,,,,,,,,0.79128098487854,0.0001
960,1,80.0,,,,,,,,1.310316801071167,0.0001
1428,2,80.0,,,,,,,,2.0989747047424316,0.0001
1777,3,40.0,,,,,,,,2.5562305450439453,0.0001
2354,4,100.0,,,,,,,,3.2712082862854004,0.0001
3078,5,100.0,,,,,,,,4.195866346359253,0.0001
3847,6,80.0,,,,,,,,5.13676905632019,0.0001
4432,7,100.0,,,,,,,,5.941801071166992,0.0001
4913,8,40.0,,,,,,,,6.602853059768677,0.0001
5327,9,60.0,,,,,,,,7.1245317459106445,0.0001
5746,10,40.0,,,,,,,,7.633713006973267,0.0001
6176,11,40.0,,,,,,,,8.153077840805054,0.0001
6504,12,0.0,,,,,,,,8.555681943893433,0.0001
7112,13,80.0,,,,,,,,9.395519256591797,0.0001
7789,14,120.0,,,,,,,,10.256250143051147,0.0001
8133,15,0.0,,,,,,,,10.708020210266113,0.0001
8781,16,120.0,,,,,,,,11.485933065414429,0.0001
9142,17,40.0,,,,,,,,11.920920848846436,0.0001
9566,18,60.0,,,,,,,,12.498922109603882,0.0001
10023,19,60.0,,,,,,,,13.053095579147339,0.0001
10568,20,40.0,,,,,,,,13.713808536529541,0.0001
10940,21,60.0,,,,,,,,14.17498517036438,0.0001
11598,22,160.0,,,,,,,,14.961339950561523,0.0001
12054,23,100.0,,,,,,,,15.512293577194214,0.0001
12491,24,40.0,,,,,,,,16.125805616378784,0.0001
13063,25,120.0,,,,,,,,16.921749353408813,0.0001
13927,26,140.0,,,,,,,,18.11371660232544,0.0001
14366,27,60.0,,,,,,,,18.722304821014404,0.0001
14796,28,80.0,,,,,,,,19.273351669311523,0.0001
15302,29,60.0,,,,,,,,19.9151554107666,0.0001
15660,30,20.0,,,,,,,,20.35435152053833,0.0001
16119,31,80.0,,,,,,,,20.939433813095093,0.0001
16573,32,80.0,,,,,,,,21.504775524139404,0.0001
17014,33,40.0,,,,,,,,22.08877420425415,0.0001
17407,34,20.0,,,,,,,,22.575196504592896,0.0001
17819,35,40.0,,,,,,,,23.151742458343506,0.0001
18496,36,100.0,,,,,,,,24.00298547744751,0.0001
19118,37,180.0,,,,,,,,24.85721468925476,0.0001
19872,38,160.0,,,,,,,,25.82570171356201,0.0001
20551,39,180.0,,,,,,,,26.779536962509155,0.0001
20922,40,20.0,,,,,,,,27.22962760925293,0.0001
21564,41,120.0,,,,,,,,28.016339778900146,0.0001
21919,42,0.0,,,,,,,,28.44230842590332,0.0001
22318,43,0.0,,,,,,,,28.933634519577026,0.0001
22806,44,60.0,,,,,,,,29.534064531326294,0.0001
23186,45,60.0,,,,,,,,30.007813453674316,0.0001
23587,46,20.0,,,,,,,,30.49623703956604,0.0001
23906,47,0.0,,,,,,,,30.88369059562683,0.0001
24382,48,100.0,,,,,,,,31.46215057373047,0.0001
24756,49,40.0,,,,,,,,31.91552495956421,0.0001
25218,50,60.0,,,,,,,,32.47259330749512,0.0001
25732,51,60.0,,,,,,,,33.09548020362854,0.0001
26105,52,40.0,,,,,,,,33.557960510253906,0.0001
26967,53,220.0,,,,,,,,34.62579560279846,0.0001
27345,54,20.0,,,,,,,,35.093029499053955,0.0001
27773,55,80.0,,,,,,,,35.642510175704956,0.0001
28415,56,120.0,,,,,,,,36.41766285896301,0.0001
29100,57,180.0,,,,,,,,37.257039308547974,0.0001
29671,58,140.0,,,,,,,,37.95063138008118,0.0001
30049,59,20.0,,,,,,,,38.412272214889526,0.0001
30458,60,40.0,,,,,,,,38.909353256225586,0.0001
31035,61,180.0,,,,,,,,39.61099982261658,0.0001
31453,62,40.0,,,,,,,,40.11891531944275,0.0001
32065,63,60.0,,,,,,,,40.8675217628479,0.0001
32835,64,200.0,,,,,,,,41.7993528842926,0.0001
33708,65,240.0,,,,,,,,42.86114025115967,0.0001
34476,66,180.0,,,,,,,,43.79832363128662,0.0001
35170,67,200.0,,,,,,,,44.64868450164795,0.0001
35695,68,100.0,,,,,,,,45.37519407272339,0.0001
36254,69,140.0,,,,,,,,46.05938959121704,0.0001
36856,70,140.0,,,,,,,,46.79072856903076,0.0001
37151,71,0.0,,,,,,,,47.15459585189819,0.0001
37592,72,80.0,,,,,,,,47.70324373245239,0.0001
38246,73,140.0,,,,,,,,48.495808601379395,0.0001
38654,74,80.0,,,,,,,,49.00362038612366,0.0001
39341,75,100.0,,,,,,,,49.91547751426697,0.0001
39833,76,100.0,,,,,,,,50.52325367927551,0.0001
40853,77,220.0,,,,,,,,51.77760124206543,0.0001
41311,78,80.0,,,,,,,,52.342350244522095,0.0001
41772,79,100.0,,,,,,,,52.91539025306702,0.0001
42175,80,60.0,,,,,,,,53.41145968437195,0.0001
42600,81,60.0,,,,,,,,53.9440484046936,0.0001
43056,82,40.0,,,,,,,,54.520402669906616,0.0001
43701,83,160.0,,,,,,,,55.31698560714722,0.0001
44331,84,120.0,,,,,,,,56.09928512573242,0.0001
44944,85,200.0,,,,,,,,56.85580325126648,0.0001
45392,86,40.0,,,,,,,,57.416025161743164,0.0001
45877,87,80.0,,,,,,,,58.019649028778076,0.0001
46423,88,100.0,,,,,,,,58.731462240219116,0.0001
46955,89,40.0,,,,,,,,59.39007043838501,0.0001
47776,90,220.0,,,,,,,,60.40485858917236,0.0001
48578,91,140.0,,,,,,,,61.39265823364258,0.0001
49588,92,280.0,,,,,,,,62.64554834365845,0.0001
49998,93,60.0,,,,,,,,63.15731644630432,0.0001
50669,94,180.0,,,,,,,,63.98512816429138,0.0001
51141,95,100.0,,,,,,,,64.5715799331665,0.0001
51625,96,120.0,,,,,,,,65.19884181022644,0.0001
52281,97,200.0,,,,,,,,66.01666402816772,0.0001
52820,98,100.0,,,,,,,,66.69169592857361,0.0001
53471,99,200.0,,,,,,,,67.5520749092102,0.0001
54071,100,100.0,,,,,,,,68.30354690551758,0.0001
54595,101,80.0,,,,,,,,68.974294424057,0.0001
55055,102,80.0,,,,,,,,69.54834461212158,0.0001
55755,103,160.0,,,,,,,,70.41678237915039,0.0001
56231,104,60.0,,,,,,,,71.01330423355103,0.0001
56864,105,160.0,,,,,,,,71.81154036521912,0.0001
57657,106,200.0,,,,,,,,72.80724024772644,0.0001
58167,107,60.0,,,,,,,,73.44764709472656,0.0001
58592,108,40.0,,,,,,,,73.98418664932251,0.0001
59128,109,120.0,,,,,,,,74.6625657081604,0.0001
59547,110,80.0,,,,,,,,75.18784713745117,0.0001
60197,111,120.0,,,,,,,,76.00830698013306,0.0001
60536,112,20.0,,,,,,,,76.43761086463928,0.0001
61405,113,240.0,,,,,,,,77.52167868614197,0.0001
62196,114,180.0,,,,,,,,78.50847125053406,0.0001
63226,115,360.0,,,,,,,,79.80085396766663,0.0001
63785,116,100.0,,,,,,,,80.50524067878723,0.0001
64228,117,40.0,,,,,,,,81.06027936935425,0.0001
64679,118,60.0,,,,,,,,81.62839031219482,0.0001
65171,119,60.0,,,,,,,,82.24407386779785,0.0001
65938,120,220.0,,,,,,,,83.21591854095459,0.0001
66275,121,40.0,,,,,,,,83.64413046836853,0.0001
66778,122,120.0,,,,,,,,84.28209376335144,0.0001
67484,123,200.0,,,,,,,,85.16554117202759,0.0001
67962,124,80.0,,,,,,,,85.81102395057678,0.0001
68678,125,140.0,,,,,,,,86.72719621658325,0.0001
69786,126,300.0,,,,,,,,88.10238027572632,0.0001
70685,127,260.0,,,,,,,,89.22608041763306,0.0001
71132,128,40.0,,,,,,,,89.78987860679626,0.0001
71701,129,120.0,,,,,,,,90.50617909431458,0.0001
72660,130,260.0,,,,,,,,91.70009517669678,0.0001
73016,131,20.0,,,,,,,,92.14632654190063,0.0001
73531,132,140.0,,,,,,,,92.80062913894653,0.0001
74029,133,80.0,,,,,,,,93.42898797988892,0.0001
74521,134,140.0,,,,,,,,94.04333138465881,0.0001
74948,135,40.0,,,,,,,,94.57971405982971,0.0001
75749,136,180.0,,,,,,,,95.58232355117798,0.0001
76972,137,300.0,,,,,,,,97.10769391059875,0.0001
77576,138,140.0,,,,,,,,97.87551093101501,0.0001
78338,139,280.0,,,,,,,,98.8335132598877,0.0001
78792,140,80.0,,,,,,,,99.40772080421448,0.0001
79128,141,20.0,,,,,,,,99.83210730552673,0.0001
79765,142,160.0,,,,,,,,100.63551616668701,0.0001
80172,143,60.0,,,,,,,,101.15237355232239,0.0001
80598,144,80.0,,,,,,,,101.69297766685486,0.0001
81513,145,220.0,,,,,,,,102.83211994171143,0.0001
81966,146,100.0,,,,,,,,103.41215562820435,0.0001
83080,147,340.0,,,,,,,,104.81852984428406,0.0001
84090,148,340.0,,,,,,,,106.08937692642212,0.0001
84979,149,200.0,,,,,,,,107.19984817504883,0.0001
85681,150,140.0,,,,,,,,108.08859300613403,0.0001
86352,151,160.0,,,,,,,,108.93575644493103,0.0001
86848,152,80.0,,,,,,,,109.57865405082703,0.0001
87319,153,40.0,,,,,,,,110.17212700843811,0.0001
87687,154,60.0,,,,,,,,110.64082455635071,0.0001
88996,155,340.0,,,,,,,,112.27106356620789,0.0001
90393,156,400.0,,,,,,,,114.01354908943176,0.0001
91229,157,220.0,,,,,,,,115.07167673110962,0.0001
91977,158,200.0,,,,,,,,116.01090335845947,0.0001
93308,159,360.0,,,,,,,,117.66947650909424,0.0001
94104,160,200.0,,,,,,,,118.67532348632812,0.0001
94725,161,160.0,,,,,,,,119.46084570884705,0.0001
95721,162,260.0,,,,,,,,120.86718416213989,0.0001
96413,163,200.0,,,,,,,,121.85752558708191,0.0001
97013,164,200.0,,,,,,,,122.73207640647888,0.0001
97624,165,100.0,,,,,,,,123.60504841804504,0.0001
98387,166,240.0,,,,,,,,124.5616500377655,0.0001
99228,167,80.0,,,,,,,,125.6152560710907,0.0001
99693,168,80.0,,,,,,,,126.20607662200928,0.0001
100461,169,200.0,,,,,,,,129.02492475509644,0.0001
101167,170,140.0,,,,,,,,132.828027009964,0.0001
101685,171,120.0,,,,,,,,135.6385052204132,0.0001
102166,172,40.0,,,,,,,,138.2379674911499,0.0001
102489,173,0.0,,,,,,,,139.97808074951172,0.0001
102860,174,20.0,,,,,,,,141.9603705406189,0.0001
103262,175,40.0,,,,,,,,144.1347417831421,0.0001
103870,176,40.0,,,,,,,,147.44345927238464,0.0001
104215,177,0.0,,,,,,,,149.29217338562012,0.0001
104887,178,180.0,,,,,,,,152.92245841026306,0.0001
105431,179,60.0,,,,,,,,155.87425208091736,0.0001
105916,180,60.0,,,,,,,,158.47942304611206,0.0001
106372,181,60.0,,,,,,,,160.93798184394836,0.0001
106930,182,80.0,,,,,,,,163.95667004585266,0.0001
107704,183,180.0,,,,,,,,168.1560366153717,0.0001
108106,184,40.0,,,,,,,,170.3209445476532,0.0001
108880,185,140.0,,,,,,,,174.47137689590454,0.0001
109225,186,0.0,,,,,,,,176.3745403289795,0.0001
109860,187,140.0,,,,,,,,179.78458046913147,0.0001
110235,188,40.0,,,,,,,,181.82010650634766,0.0001
111147,189,220.0,,,,,,,,186.8054118156433,0.0001
111656,190,140.0,,,,,,,,189.58730220794678,0.0001
112032,191,20.0,,,,,,,,191.59600353240967,0.0001
112569,192,60.0,,,,,,,,194.50147891044617,0.0001
113579,193,240.0,,,,,,,,199.9680404663086,0.0001
114288,194,200.0,,,,,,,,203.80459690093994,0.0001
115050,195,160.0,,,,,,,,207.88321828842163,0.0001
115650,196,100.0,,,,,,,,211.10736775398254,0.0001
116290,197,180.0,,,,,,,,214.61218667030334,0.0001
116725,198,60.0,,,,,,,,216.94681596755981,0.0001
117211,199,100.0,,,,,,,,219.60610580444336,0.0001
117758,200,120.0,,,,,,,,222.61179304122925,0.0001
118170,201,40.0,,,,,,,,224.82936596870422,0.0001
118781,202,60.0,,,,,,,,228.18093490600586,0.0001
119369,203,100.0,,,,,,,,231.4249587059021,0.0001
119812,204,60.0,,,,,,,,233.85971999168396,0.0001
120516,205,160.0,,,,,,,,237.71533608436584,0.0001
121102,206,160.0,,,,,,,,240.91199851036072,0.0001
121671,207,160.0,,,,,,,,243.9826397895813,0.0001
122490,208,140.0,,,,,,,,248.44667530059814,0.0001
122921,209,80.0,,,,,,,,250.83178782463074,0.0001
123426,210,80.0,,,,,,,,253.57350325584412,0.0001
124106,211,180.0,,,,,,,,257.2804868221283,0.0001
124906,212,160.0,,,,,,,,261.6477360725403,0.0001
125462,213,100.0,,,,,,,,264.67410922050476,0.0001
126411,214,300.0,,,,,,,,269.8586850166321,0.0001
126824,215,80.0,,,,,,,,272.1134912967682,0.0001
127637,216,200.0,,,,,,,,276.5358204841614,0.0001
128057,217,60.0,,,,,,,,278.7690486907959,0.0001
128718,218,140.0,,,,,,,,282.2669794559479,0.0001
129505,219,180.0,,,,,,,,286.41173911094666,0.0001
129870,220,40.0,,,,,,,,288.31415462493896,0.0001
130474,221,120.0,,,,,,,,291.48434042930603,0.0001
131019,222,120.0,,,,,,,,294.3536229133606,0.0001
131482,223,100.0,,,,,,,,296.8261148929596,0.0001
132062,224,140.0,,,,,,,,299.8576190471649,0.0001
132592,225,40.0,,,,,,,,302.7045159339905,0.0001
133254,226,140.0,,,,,,,,306.3580434322357,0.0001
133578,227,0.0,,,,,,,,308.1657943725586,0.0001
134108,228,60.0,,,,,,,,311.1121163368225,0.0001
134848,229,240.0,,,,,,,,315.1332309246063,0.0001
135276,230,60.0,,,,,,,,317.4824388027191,0.0001
135743,231,80.0,,,,,,,,320.06136178970337,0.0001
136196,232,60.0,,,,,,,,322.55120491981506,0.0001
136673,233,100.0,,,,,,,,325.191921710968,0.0001
137175,234,120.0,,,,,,,,327.92437720298767,0.0001
137728,235,100.0,,,,,,,,330.96799755096436,0.0001
138101,236,0.0,,,,,,,,333.03073143959045,0.0001
138791,237,160.0,,,,,,,,336.7529022693634,0.0001
139691,238,280.0,,,,,,,,341.6519067287445,0.0001
140233,239,100.0,,,,,,,,344.65529108047485,0.0001
140612,240,20.0,,,,,,,,346.75198435783386,0.0001
141259,241,120.0,,,,,,,,350.31726002693176,0.0001
141793,242,120.0,,,,,,,,353.2539644241333,0.0001
142344,243,60.0,,,,,,,,356.25520420074463,0.0001
142896,244,140.0,,,,,,,,359.26186895370483,0.0001
143341,245,60.0,,,,,,,,361.71565198898315,0.0001
144054,246,180.0,,,,,,,,365.61457347869873,0.0001
145552,247,480.0,,,,,,,,373.7102620601654,0.0001
