global_step,episode,return,SNR,EmaSNR,AdamPlusSNR,m,v,g,pwr_noise,runtime,lr
1029,0,280.0,,,,,,,,1.5894525051116943,0.0001
1774,1,200.0,,,,,,,,2.4994635581970215,0.0001
2226,2,100.0,,,,,,,,3.0565106868743896,0.0001
2726,3,80.0,,,,,,,,3.676194906234741,0.0001
3293,4,100.0,,,,,,,,4.379330396652222,0.0001
3595,5,0.0,,,,,,,,4.7528886795043945,0.0001
4049,6,80.0,,,,,,,,5.315612077713013,0.0001
4507,7,60.0,,,,,,,,5.8874993324279785,0.0001
5046,8,60.0,,,,,,,,6.556408882141113,0.0001
5471,9,40.0,,,,,,,,7.085272550582886,0.0001
6110,10,120.0,,,,,,,,7.875540733337402,0.0001
6723,11,60.0,,,,,,,,8.63692831993103,0.0001
7051,12,0.0,,,,,,,,9.052661180496216,0.0001
7436,13,40.0,,,,,,,,9.539581060409546,0.0001
7840,14,40.0,,,,,,,,10.044082641601562,0.0001
8205,15,0.0,,,,,,,,10.498104810714722,0.0001
8651,16,80.0,,,,,,,,11.05535340309143,0.0001
9212,17,100.0,,,,,,,,11.749784708023071,0.0001
9539,18,20.0,,,,,,,,12.155743598937988,0.0001
9994,19,80.0,,,,,,,,12.721753358840942,0.0001
10309,20,0.0,,,,,,,,13.121321678161621,0.0001
10944,21,120.0,,,,,,,,13.910319328308105,0.0001
11348,22,40.0,,,,,,,,14.424193382263184,0.0001
11831,23,80.0,,,,,,,,15.034068822860718,0.0001
12442,24,60.0,,,,,,,,15.798747539520264,0.0001
12841,25,20.0,,,,,,,,16.304389476776123,0.0001
13128,26,0.0,,,,,,,,16.65873146057129,0.0001
13461,27,0.0,,,,,,,,17.071696758270264,0.0001
14033,28,120.0,,,,,,,,17.78192949295044,0.0001
14446,29,20.0,,,,,,,,18.297783851623535,0.0001
14791,30,20.0,,,,,,,,18.725531578063965,0.0001
15302,31,100.0,,,,,,,,19.38240146636963,0.0001
16039,32,180.0,,,,,,,,20.298958778381348,0.0001
16611,33,120.0,,,,,,,,21.01497220993042,0.0001
16961,34,0.0,,,,,,,,21.473690509796143,0.0001
17476,35,140.0,,,,,,,,22.11823868751526,0.0001
17909,36,40.0,,,,,,,,22.656197547912598,0.0001
18255,37,40.0,,,,,,,,23.099790334701538,0.0001
18707,38,20.0,,,,,,,,23.676016569137573,0.0001
19108,39,20.0,,,,,,,,24.191097259521484,0.0001
19674,40,120.0,,,,,,,,24.915780544281006,0.0001
20162,41,40.0,,,,,,,,25.53170609474182,0.0001
20692,42,80.0,,,,,,,,26.184704065322876,0.0001
21391,43,100.0,,,,,,,,27.05896806716919,0.0001
21752,44,40.0,,,,,,,,27.51241397857666,0.0001
22103,45,0.0,,,,,,,,27.955581426620483,0.0001
22495,46,0.0,,,,,,,,28.44216012954712,0.0001
23021,47,40.0,,,,,,,,29.13927435874939,0.0001
23404,48,60.0,,,,,,,,29.64060378074646,0.0001
23859,49,40.0,,,,,,,,30.21125292778015,0.0001
24296,50,40.0,,,,,,,,30.753385543823242,0.0001
24662,51,40.0,,,,,,,,31.218207597732544,0.0001
25081,52,20.0,,,,,,,,31.746609449386597,0.0001
25812,53,140.0,,,,,,,,32.65639066696167,0.0001
26328,54,80.0,,,,,,,,33.30778217315674,0.0001
26834,55,60.0,,,,,,,,33.93633031845093,0.0001
27381,56,100.0,,,,,,,,34.620766401290894,0.0001
27972,57,100.0,,,,,,,,35.3585090637207,0.0001
28267,58,0.0,,,,,,,,35.730451345443726,0.0001
28686,59,40.0,,,,,,,,36.25545024871826,0.0001
29095,60,40.0,,,,,,,,36.767935037612915,0.0001
29477,61,20.0,,,,,,,,37.24571990966797,0.0001
29946,62,60.0,,,,,,,,37.833043813705444,0.0001
30309,63,0.0,,,,,,,,38.28502655029297,0.0001
30648,64,0.0,,,,,,,,38.7099449634552,0.0001
31321,65,80.0,,,,,,,,39.561816453933716,0.0001
31808,66,60.0,,,,,,,,40.172388315200806,0.0001
32623,67,240.0,,,,,,,,41.195202350616455,0.0001
32990,68,20.0,,,,,,,,41.662413597106934,0.0001
33322,69,0.0,,,,,,,,42.077303886413574,0.0001
33703,70,40.0,,,,,,,,42.56292176246643,0.0001
34096,71,40.0,,,,,,,,43.05708861351013,0.0001
34480,72,20.0,,,,,,,,43.54095983505249,0.0001
