,opt,beta1,beta2,seed,epoch,lr,weight_decay,decay_steps,decay_rate,batch_size,run,gpu,env
0,AMSGrad,0.9,0.999,51,200,0.0001,0.001,1,1,100,FALSE,0,mnist
0,AMSGradPlus,0.9,0.999,51,200,0.0001,0.001,1,1,100,FALSE,None,mnist
1,AdaBelief,0.9,0.999,51,200,0.0001,0.001,1,1,100,FALSE,None,mnist
2,AdaBound,0.9,0.999,51,200,0.0001,0.001,1,1,100,FALSE,1,mnist
3,Adagrad,0.9,0.999,51,200,0.001,0.001,1,1,100,FALSE,4,mnist
4,Adam,0.5,0.5,51,200,0.0001,0.001,1,1,100,FALSE,None,mnist
5,Adam,0.9,0.9,51,200,0.0001,0.001,1,1,100,FALSE,0,mnist
6,Adam,0.9,0.999,51,200,0.0001,0.001,1,1,100,FALSE,1,mnist
7,AdamPlus,0.5,0.5,51,200,0.0001,0.001,1,1,100,FALSE,4,mnist
8,AdamPlus,0.9,0.9,51,200,0.0001,0.001,1,1,100,FALSE,None,mnist
9,AdamPlus,0.9,0.999,51,200,0.0001,0.001,1,1,100,FALSE,0,mnist
10,ADOPT,0.5,0.5,51,200,0.0001,0.001,1,1,100,TRUE,1,mnist
10,ADOPT,0.9,0.9,51,200,0.0001,0.001,1,1,100,TRUE,1,mnist
10,ADOPT,0.9,0.999,51,200,0.0001,0.001,1,1,100,FALSE,None,mnist
10,Adam2,0.5,0.5,51,200,0.0001,0.001,1,1,100,FALSE,1,mnist
10,Adam2,0.9,0.9,51,200,0.0001,0.001,1,1,100,FALSE,1,mnist
10,Adam2,0.9,0.999,51,200,0.0001,0.001,1,1,100,FALSE,1,mnist
11,Lamb,0.5,0.5,51,200,0.001,0.001,1,1,100,FALSE,4,mnist
12,Lamb,0.9,0.9,51,200,0.001,0.001,1,1,100,FALSE,None,mnist
13,Lamb,0.9,0.999,51,200,0.001,0.001,1,1,100,FALSE,0,mnist
14,LambPlus,0.5,0.5,51,200,0.001,0.001,1,1,100,FALSE,1,mnist
15,LambPlus,0.9,0.9,51,200,0.001,0.001,1,1,100,FALSE,None,mnist
16,LambPlus,0.9,0.999,51,200,0.001,0.001,1,1,100,FALSE,4,mnist
17,Lion,0.9,0.999,51,200,0.0001,0.001,1,1,100,FALSE,0,mnist
18,Adam4,0.5,0.5,51,200,0.0001,0.001,1,1,100,FALSE,1,mnist
19,Adam4,0.9,0.9,51,200,0.0001,0.001,1,1,100,FALSE,None,mnist
20,Adam41,0.5,0.5,51,200,0.0001,0.001,1,1,100,FALSE,4,mnist
21,Adam41,0.9,0.9,51,200,0.0001,0.001,1,1,100,FALSE,0,mnist
22,Adam42,0.5,0.5,51,200,0.0001,0.001,1,1,100,FALSE,None,mnist
23,Adam42,0.9,0.9,51,200,0.0001,0.001,1,1,100,FALSE,1,mnist
23,Lamb4,0.5,0.5,51,200,0.001,0.001,1,1,100,FALSE,None,mnist
23,Lamb4,0.9,0.9,51,200,0.001,0.001,1,1,100,FALSE,4,mnist
23,Lamb4,0.9,0.999,51,200,0.001,0.001,1,1,100,FALSE,0,mnist
5,AdamW,0.5,0.5,51,200,0.0001,0.001,1,1,100,FALSE,1,mnist
5,AdamW,0.9,0.9,51,200,0.0001,0.001,1,1,100,FALSE,None,mnist
6,AdamW,0.9,0.999,51,200,0.0001,0.001,1,1,100,FALSE,1,mnist
5,AdamWPlus,0.5,0.5,51,200,0.0001,0.001,1,1,100,TRUE,4,mnist
5,AdamWPlus,0.9,0.9,51,200,0.0001,0.001,1,1,100,FALSE,4,mnist
6,AdamWPlus,0.9,0.999,51,200,0.0001,0.001,1,1,100,FALSE,None,mnist
5,AdamW2,0.9,0.9,51,200,0.0001,0.001,1,1,100,FALSE,0,mnist
6,AdamW2,0.9,0.999,51,200,0.0001,0.001,1,1,100,FALSE,1,mnist
5,AdamW4,0.9,0.9,51,200,0.0001,0.001,1,1,100,FALSE,2,mnist
6,AdamW4,0.9,0.999,51,200,0.0001,0.001,1,1,100,FALSE,4,mnist
6,AdaBeliefW,0.9,0.999,51,200,0.0001,0.001,1,1,100,FALSE,0,mnist
