,epoch,mini-batch,loss_tr,loss_val,acc_tr,acc_val,SNR,EmaSNR,AdamPlusSNR,m,v,g,pwr_noise,runtime,lr
0,1,100,1.43698983669281,0.6911531338095664,0.6277,0.8444,,,,,,,,3.37282133102417,0.0001
1,1,200,0.5661996039748192,0.4448696011304855,0.8594,0.8881,,,,,,,,2.0614748001098633,0.0001
2,1,300,0.4252761673927307,0.37375751733779905,0.8894,0.9017,,,,,,,,1.5037057399749756,0.0001
3,1,400,0.35601543009281156,0.3346956417709589,0.9047,0.9056,,,,,,,,1.399566411972046,0.0001
4,1,500,0.3337251676619053,0.3125883802212775,0.9081,0.9156,,,,,,,,1.5808024406433105,0.0001
5,1,600,0.3310257463157177,0.2948187759891152,0.9073,0.919,,,,,,,,1.5347013473510742,0.0001
6,2,100,0.2876838584244251,0.28292748456820843,0.9197,0.9204,,,,,,,,2.868635416030884,0.0001
7,2,200,0.29437186770141127,0.26981004893779753,0.9154,0.9223,,,,,,,,1.6754422187805176,0.0001
8,2,300,0.27626436777412894,0.2619293786399066,0.9219,0.9267,,,,,,,,1.6983067989349365,0.0001
9,2,400,0.27854760631918907,0.25176759203895926,0.9192,0.9285,,,,,,,,1.5439603328704834,0.0001
10,2,500,0.26039776504039763,0.2468149848561734,0.9272,0.9304,,,,,,,,1.7511966228485107,0.0001
11,2,600,0.24418904691934584,0.23402206653729082,0.9305,0.9335,,,,,,,,1.568018913269043,0.0001
12,3,100,0.24184802137315273,0.23232924109324812,0.933,0.9353,,,,,,,,3.1569812297821045,0.0001
13,3,200,0.24907867006957532,0.22467382323928178,0.9297,0.9381,,,,,,,,1.8525564670562744,0.0001
14,3,300,0.21724665597081183,0.2169631056394428,0.9398,0.9388,,,,,,,,1.8699321746826172,0.0001
15,3,400,0.21531528547406198,0.21120636885985733,0.9402,0.9391,,,,,,,,1.8101189136505127,0.0001
16,3,500,0.21796142175793648,0.20710089887492358,0.9388,0.9402,,,,,,,,1.5812995433807373,0.0001
17,3,600,0.20114534173160792,0.20149844811297954,0.9454,0.9434,,,,,,,,1.2969529628753662,0.0001
18,4,100,0.2126695639640093,0.19740267036482692,0.9383,0.9431,,,,,,,,2.6716372966766357,0.0001
19,4,200,0.20012686721980572,0.1936679447069764,0.9467,0.9444,,,,,,,,1.9956707954406738,0.0001
20,4,300,0.18438900493085383,0.1894523795414716,0.9484,0.9455,,,,,,,,1.7925410270690918,0.0001
21,4,400,0.18489162355661393,0.18344410001300276,0.9469,0.948,,,,,,,,1.8224575519561768,0.0001
22,4,500,0.1846181008964777,0.1818708284944296,0.9487,0.9486,,,,,,,,1.5416405200958252,0.0001
23,4,600,0.18282123327255248,0.17886731636710465,0.9505,0.9481,,,,,,,,1.6350584030151367,0.0001
24,5,100,0.1746013893932104,0.1751197614148259,0.9517,0.9494,,,,,,,,2.7001852989196777,0.0001
25,5,200,0.17419468127191068,0.17411454716231675,0.9505,0.9505,,,,,,,,1.601064920425415,0.0001
26,5,300,0.16241554841399192,0.17235138228163124,0.9565,0.9492,,,,,,,,2.112558364868164,0.0001
