,epoch,mini-batch,loss_tr,loss_val,acc_tr,acc_val,SNR,EmaSNR,AdamPlusSNR,m,v,g,pwr_noise,runtime,lr
0,1,100,1.565559070110321,0.9350906807184219,0.6354,0.8135,,,,,,,,3.2066032886505127,0.0001
1,1,200,0.7280148869752884,0.5438773253560066,0.8365,0.8733,,,,,,,,0.7470004558563232,0.0001
2,1,300,0.5006142422556877,0.42937408059835436,0.8788,0.8919,,,,,,,,1.7634296417236328,0.0001
3,1,400,0.4038315936923027,0.375343774035573,0.895,0.898,,,,,,,,1.6285560131072998,0.0001
4,1,500,0.3682023195922375,0.3426589903235435,0.9006,0.9092,,,,,,,,1.6008563041687012,0.0001
5,1,600,0.3620383101701736,0.32171641632914544,0.8999,0.9129,,,,,,,,1.4520063400268555,0.0001
6,2,100,0.3166840110719204,0.3076832230947912,0.9126,0.9135,,,,,,,,2.3830068111419678,0.0001
7,2,200,0.3193087950348854,0.293591751344502,0.9097,0.916,,,,,,,,1.7092986106872559,0.0001
8,2,300,0.3010283488035202,0.28425013899803164,0.9154,0.9204,,,,,,,,1.9567551612854004,0.0001
9,2,400,0.3025696551799774,0.2739757923781872,0.9129,0.9233,,,,,,,,1.3133611679077148,0.0001
10,2,500,0.2835323467850685,0.26930864414200184,0.9216,0.9246,,,,,,,,1.2420458793640137,0.0001
11,2,600,0.26651251897215844,0.25575707921758295,0.9237,0.9269,,,,,,,,1.3119826316833496,0.0001
12,3,100,0.2665403585135937,0.2529847053438425,0.9255,0.9291,,,,,,,,2.2450168132781982,0.0001
13,3,200,0.2741278649866581,0.2462003848515451,0.9211,0.9308,,,,,,,,1.6591200828552246,0.0001
14,3,300,0.24006184957921506,0.23939049140550195,0.9308,0.9322,,,,,,,,1.6893067359924316,0.0001
15,3,400,0.23748822659254074,0.232949907053262,0.9328,0.932,,,,,,,,1.7163186073303223,0.0001
16,3,500,0.24219978116452695,0.2277021519653499,0.9322,0.934,,,,,,,,1.5883090496063232,0.0001
17,3,600,0.22344343103468417,0.22386076311580838,0.9387,0.9373,,,,,,,,1.6686594486236572,0.0001
18,4,100,0.23735854238271714,0.21850858396850525,0.9309,0.9366,,,,,,,,2.423290491104126,0.0001
19,4,200,0.22461289934813977,0.21622109848074614,0.9379,0.938,,,,,,,,1.568411111831665,0.0001
20,4,300,0.2085508446395397,0.20999781677499413,0.9395,0.9416,,,,,,,,1.853931188583374,0.0001
21,4,400,0.2072002559900284,0.2047724238410592,0.9409,0.9415,,,,,,,,1.4653072357177734,0.0001
22,4,500,0.207349114716053,0.2020078196376562,0.9421,0.9422,,,,,,,,1.4194650650024414,0.0001
23,4,600,0.20517894506454468,0.19875633927993477,0.943,0.9431,,,,,,,,1.6671833992004395,0.0001
24,5,100,0.19580539308488368,0.19719807325862349,0.9445,0.9432,,,,,,,,2.583519220352173,0.0001
25,5,200,0.19913662575185298,0.19455159557051957,0.9415,0.9439,,,,,,,,1.6351897716522217,0.0001
26,5,300,0.1828944306820631,0.19254873724654317,0.9506,0.9438,,,,,,,,2.0150747299194336,0.0001
27,5,400,0.19945668965578078,0.18645666731055827,0.9439,0.9451,,,,,,,,1.6794910430908203,0.0001
28,5,500,0.18725598827004433,0.18313514712732284,0.9477,0.9466,,,,,,,,1.3536887168884277,0.0001
29,5,600,0.18154183946549893,0.178666549352929,0.9476,0.9483,,,,,,,,1.3137273788452148,0.0001
30,6,100,0.17243193440139293,0.17921325388830156,0.9527,0.9476,,,,,,,,2.5538268089294434,0.0001
31,6,200,0.17712998747825623,0.1753169625857845,0.9483,0.9492,,,,,,,,1.657750129699707,0.0001
32,6,300,0.17342463083565235,0.17222365709021686,0.9515,0.9498,,,,,,,,1.3557915687561035,0.0001
33,6,400,0.16274432573467493,0.16884490729309617,0.9527,0.9514,,,,,,,,1.4223811626434326,0.0001
34,6,500,0.1706565199792385,0.1678700634976849,0.9521,0.9505,,,,,,,,1.4044432640075684,0.0001
35,6,600,0.1773933369293809,0.164897015504539,0.9502,0.9524,,,,,,,,1.5420448780059814,0.0001
36,7,100,0.15906616806983948,0.16264900462701917,0.9563,0.953,,,,,,,,2.642329454421997,0.0001
37,7,200,0.16633300717920066,0.16064314467832447,0.9545,0.953,,,,,,,,2.1045262813568115,0.0001
38,7,300,0.15950413078069686,0.16117699703667313,0.9538,0.953,,,,,,,,1.3477661609649658,0.0001
39,7,400,0.1542923890426755,0.15660668817814438,0.9553,0.9552,,,,,,,,1.593397855758667,0.0001
40,7,500,0.14734131693840027,0.15470758219249547,0.9598,0.9558,,,,,,,,1.5841913223266602,0.0001
41,7,600,0.1542772864922881,0.15355481007136404,0.9567,0.9542,,,,,,,,1.351182460784912,0.0001
42,8,100,0.14418758116662503,0.15388193442253395,0.96,0.9549,,,,,,,,2.2620108127593994,0.0001
43,8,200,0.14279027078300716,0.15060610719025136,0.9609,0.9555,,,,,,,,2.0395495891571045,0.0001
44,8,300,0.14495348528027535,0.15027189997956156,0.9592,0.9556,,,,,,,,1.5838942527770996,0.0001
45,8,400,0.1446927373483777,0.1480704796127975,0.9607,0.9558,,,,,,,,1.5298011302947998,0.0001
46,8,500,0.1431094915419817,0.14376524484250694,0.9609,0.9582,,,,,,,,1.4477972984313965,0.0001
47,8,600,0.14345874603837727,0.14472671936498954,0.9573,0.9573,,,,,,,,1.4597609043121338,0.0001
48,9,100,0.13511646300554275,0.1433059173123911,0.9616,0.9592,,,,,,,,2.4132635593414307,0.0001
49,9,200,0.12581492956727744,0.14063213306246325,0.9645,0.9592,,,,,,,,1.9637267589569092,0.0001
50,9,300,0.13630465801805258,0.13859048598911614,0.9622,0.9593,,,,,,,,1.9687738418579102,0.0001
51,9,400,0.13893440034240484,0.13749583784025163,0.9615,0.9596,,,,,,,,1.3846466541290283,0.0001
52,9,500,0.13939680896699427,0.13587863105814904,0.9618,0.9596,,,,,,,,1.3692593574523926,0.0001
53,9,600,0.12436258990317584,0.13516410639043897,0.9659,0.9604,,,,,,,,1.5809376239776611,0.0001
54,10,100,0.11901316910982132,0.13391925810137764,0.9681,0.9607,,,,,,,,2.426516056060791,0.0001
55,10,200,0.12885306399315596,0.13381571171805262,0.9623,0.961,,,,,,,,1.7793858051300049,0.0001
56,10,300,0.1273102117329836,0.13118271186714991,0.9646,0.9617,,,,,,,,1.459890604019165,0.0001
57,10,400,0.12134525356814266,0.13047526236623525,0.9669,0.9613,,,,,,,,1.4550495147705078,0.0001
58,10,500,0.1236376603320241,0.13010942059801892,0.9655,0.9617,,,,,,,,1.5579798221588135,0.0001
59,10,600,0.12545031107962132,0.12700521333841608,0.9641,0.9622,,,,,,,,1.776113748550415,0.0001
60,11,100,0.1188064694032073,0.12645518680568785,0.9669,0.9632,,,,,,,,2.5147180557250977,0.0001
61,11,200,0.12265835870057344,0.1270154265407473,0.9657,0.9619,,,,,,,,1.628676176071167,0.0001
62,11,300,0.11248982006683945,0.12558749850606546,0.9696,0.9625,,,,,,,,1.7225630283355713,0.0001
63,11,400,0.11658732369542121,0.1254739160160534,0.9689,0.9629,,,,,,,,1.5617706775665283,0.0001
64,11,500,0.11430773422122002,0.12355654946295544,0.968,0.965,,,,,,,,1.3266277313232422,0.0001
65,11,600,0.11587435740977525,0.12310494002653286,0.967,0.964,,,,,,,,1.3021700382232666,0.0001
66,12,100,0.1113002361729741,0.12343641090206801,0.9693,0.9631,,,,,,,,2.5901427268981934,0.0001
67,12,200,0.10675910077989101,0.12141492151189595,0.9703,0.9637,,,,,,,,1.8482415676116943,0.0001
68,12,300,0.11286626305431127,0.12121484910137952,0.9697,0.964,,,,,,,,1.439974308013916,0.0001
69,12,400,0.11232219723984599,0.121436611271929,0.9676,0.9642,,,,,,,,1.7475676536560059,0.0001
70,12,500,0.10567174226045609,0.11936485862825066,0.9695,0.9646,,,,,,,,1.4210622310638428,0.0001
71,12,600,0.11085045633837581,0.11704007755848579,0.9698,0.9652,,,,,,,,1.4268081188201904,0.0001
72,13,100,0.09828713119029998,0.11806282245437615,0.9733,0.9659,,,,,,,,2.2528750896453857,0.0001
73,13,200,0.10581526316702367,0.11596310366527178,0.9718,0.966,,,,,,,,1.8122107982635498,0.0001
74,13,300,0.10243306912481785,0.11507692761369981,0.9721,0.9654,,,,,,,,1.5394618511199951,0.0001
75,13,400,0.1035732988268137,0.11458357863361016,0.9699,0.9666,,,,,,,,1.3959031105041504,0.0001
