,epoch,mini-batch,loss_tr,loss_val,acc_tr,acc_val,SNR,EmaSNR,AdamPlusSNR,m,v,g,pwr_noise,runtime,lr
0,1,100,1.9753668487071991,1.6227466201782226,0.4943,0.6999,,,,,,,,3.603006601333618,0.001
1,1,200,1.3490657317638397,1.043089941740036,0.734,0.7963,,,,,,,,1.7593326568603516,0.001
2,1,300,0.8722181695699692,0.6785906866192818,0.8203,0.8504,,,,,,,,1.6263670921325684,0.001
3,1,400,0.5874128064513207,0.49309811294078826,0.8616,0.876,,,,,,,,1.6765310764312744,0.001
4,1,500,0.45852551847696305,0.40614934496581556,0.8841,0.8944,,,,,,,,1.7747840881347656,0.001
5,1,600,0.41198467642068864,0.3570095220580697,0.8891,0.9038,,,,,,,,1.5543982982635498,0.001
6,2,100,0.34516661569476126,0.32586426012218,0.9042,0.9103,,,,,,,,2.8348493576049805,0.001
7,2,200,0.3348611654341221,0.30221913984045384,0.9064,0.9127,,,,,,,,1.8088395595550537,0.001
8,2,300,0.3084316185116768,0.2869838572479784,0.9129,0.9197,,,,,,,,1.4768600463867188,0.001
9,2,400,0.3038667456805706,0.2717353205382824,0.9115,0.923,,,,,,,,1.6945345401763916,0.001
10,2,500,0.2810048046708107,0.26300999566912653,0.9203,0.9252,,,,,,,,1.4855704307556152,0.001
11,2,600,0.2588803018629551,0.24535278416238726,0.9252,0.9306,,,,,,,,1.578364610671997,0.001
12,3,100,0.2532270087301731,0.24245099171996118,0.9293,0.9321,,,,,,,,2.9251904487609863,0.001
13,3,200,0.25749633893370627,0.22965170537121593,0.9265,0.9367,,,,,,,,1.9305758476257324,0.001
14,3,300,0.2214897296577692,0.21955019986256957,0.9366,0.9367,,,,,,,,1.792555809020996,0.001
15,3,400,0.2172123883664608,0.21114276017062367,0.939,0.9375,,,,,,,,1.6713769435882568,0.001
16,3,500,0.2171757574379444,0.20554736813530325,0.9375,0.94,,,,,,,,1.6945476531982422,0.001
17,3,600,0.19835154753178358,0.197240176089108,0.9453,0.9437,,,,,,,,1.3574988842010498,0.001
18,4,100,0.20630757816135883,0.1903051934670657,0.9389,0.9443,,,,,,,,2.996439218521118,0.001
19,4,200,0.19235996030271052,0.186159707615152,0.9479,0.945,,,,,,,,1.8507695198059082,0.001
20,4,300,0.17385301649570464,0.17964897477533667,0.9497,0.9471,,,,,,,,1.7241394519805908,0.001
21,4,400,0.17378579448908568,0.17181490000803024,0.9482,0.9502,,,,,,,,1.7300169467926025,0.001
22,4,500,0.17213847383856773,0.16959516706876457,0.9516,0.9512,,,,,,,,1.9221389293670654,0.001
23,4,600,0.16910082563757897,0.16491142994258554,0.9539,0.9525,,,,,,,,1.6235487461090088,0.001
24,5,100,0.15966590717434884,0.16060493773780762,0.9551,0.9534,,,,,,,,2.742248058319092,0.001
25,5,200,0.15633765898644925,0.1573857460403815,0.9539,0.9541,,,,,,,,1.7393271923065186,0.001
26,5,300,0.14554412614554166,0.15734644875396042,0.9594,0.9524,,,,,,,,1.877084493637085,0.001
27,5,400,0.1576622473075986,0.14824934517033397,0.9572,0.9557,,,,,,,,1.3880960941314697,0.001
28,5,500,0.14663678731769322,0.1438151127193123,0.9599,0.9569,,,,,,,,1.9497013092041016,0.001
29,5,600,0.13891198426485063,0.1400437122932635,0.9597,0.9584,,,,,,,,1.6970627307891846,0.001
30,6,100,0.12960474010556935,0.13969093080377207,0.9635,0.9578,,,,,,,,2.7891881465911865,0.001
31,6,200,0.13035507880151273,0.13618049106094987,0.9637,0.96,,,,,,,,2.0831029415130615,0.001
32,6,300,0.13163500111550092,0.13467931786784904,0.9648,0.9598,,,,,,,,1.5134611129760742,0.001
33,6,400,0.12008818041533231,0.13013050992274658,0.9658,0.9609,,,,,,,,1.6275322437286377,0.001
34,6,500,0.12854085966944695,0.1296355728362687,0.9634,0.9621,,,,,,,,1.763566255569458,0.001
35,6,600,0.13226514734327793,0.124829720701091,0.9629,0.9636,,,,,,,,1.5367155075073242,0.001
