,epoch,mini-batch,loss_tr,loss_val,acc_tr,acc_val,SNR,EmaSNR,AdamPlusSNR,m,v,g,pwr_noise,runtime,lr
0,1,100,1.427133565545082,0.7132334288954735,0.654,0.8281,,,,,,,,3.630387306213379,0.0001
1,1,200,0.5419175916910172,0.4011497987806797,0.8468,0.8812,,,,,,,,1.6449341773986816,0.0001
2,1,300,0.38608664631843564,0.345980733493343,0.8887,0.9028,,,,,,,,1.5809686183929443,0.0001
3,1,400,0.31459872297942637,0.30242494397796693,0.9088,0.914,,,,,,,,1.6563377380371094,0.0001
4,1,500,0.2922883166372776,0.2701551870489493,0.9189,0.9269,,,,,,,,1.4716620445251465,0.0001
5,1,600,0.27746727362275125,0.24458457550033927,0.9205,0.9285,,,,,,,,1.5556912422180176,0.0001
6,2,100,0.21649527236819266,0.227842687391676,0.9365,0.9342,,,,,,,,2.832637310028076,0.0001
7,2,200,0.22166501238942146,0.2078150603128597,0.9353,0.9376,,,,,,,,1.6266520023345947,0.0001
8,2,300,0.20065202973783017,0.19371567797847092,0.9434,0.9438,,,,,,,,1.3580174446105957,0.0001
9,2,400,0.19681157045066355,0.17710044099949301,0.9404,0.9488,,,,,,,,1.569991111755371,0.0001
10,2,500,0.17668872155249118,0.1684091991581954,0.9499,0.951,,,,,,,,1.4714069366455078,0.0001
11,2,600,0.15915500458329915,0.15455988506553694,0.9533,0.9553,,,,,,,,1.4881706237792969,0.0001
12,3,100,0.14077793914824724,0.14571507637389003,0.9603,0.9573,,,,,,,,2.9125874042510986,0.0001
13,3,200,0.1444110919907689,0.13632687239907681,0.956,0.9598,,,,,,,,1.8230395317077637,0.0001
14,3,300,0.11842436343431473,0.128951174832182,0.9681,0.9606,,,,,,,,1.3820221424102783,0.0001
15,3,400,0.11986799467355012,0.11816471755853854,0.9637,0.9657,,,,,,,,1.5343124866485596,0.0001
16,3,500,0.11807229198515415,0.11927782763028517,0.9686,0.963,,,,,,,,1.6733086109161377,0.0001
17,3,600,0.10694478610530496,0.11164748133393004,0.9693,0.966,,,,,,,,1.522425889968872,0.0001
18,4,100,0.09421755313873291,0.10608465705881827,0.9712,0.968,,,,,,,,2.3241162300109863,0.0001
19,4,200,0.09149765996262431,0.10684739228221588,0.9733,0.9672,,,,,,,,2.067514181137085,0.0001
20,4,300,0.08327957702800631,0.10667655939236283,0.9754,0.9682,,,,,,,,1.3513197898864746,0.0001
21,4,400,0.08722025474533439,0.09816599420504644,0.973,0.9695,,,,,,,,1.583531141281128,0.0001
