Overriding config with config/train_gpt2.py:
# config for training GPT-2 (124M) down to very nice loss of ~2.85 on 1 node of 8X A100 40GB
# launch as the following (e.g. in a screen session) and wait ~5 days:
# $ torchrun --standalone --nproc_per_node=8 train.py config/train_gpt2.py

wandb_log = False
wandb_project = 'owt'
wandb_run_name='gpt2-124M'

# these make the total batch size be ~0.5M
# 12 batch size * 1024 block size * 5 gradaccum * 8 GPUs = 491,520
batch_size = 12
block_size = 1024
gradient_accumulation_steps = 5 * 8

# this makes total number of tokens be 300B
max_iters = 600000
lr_decay_iters = 600000

# eval stuff
eval_interval = 1000
eval_iters = 200
log_interval = 10

# weight decay
weight_decay = 1e-1

tokens per iteration will be: 491,520
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
number of parameters: 123.59M
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 25, with 19,200 parameters
Using AdamW+
compiling the model... (takes a ~minute)
step 0: train loss 10.9886, val loss 10.9897
iter 0: loss 10.9885, time 28330.70ms, time_process 28262.23ms, time_perf 28330.69ms, mfu -100.00%
iter 10: loss 10.9616, time 3690.43ms, time_process 3691.66ms, time_perf 3690.43ms, mfu 36.49%
iter 20: loss 9.8158, time 3682.09ms, time_process 3683.52ms, time_perf 3682.09ms, mfu 36.50%
iter 30: loss 9.4745, time 3681.60ms, time_process 3682.83ms, time_perf 3681.60ms, mfu 36.50%
iter 40: loss 9.1072, time 3682.12ms, time_process 3683.42ms, time_perf 3682.12ms, mfu 36.51%
iter 50: loss 8.9419, time 3686.14ms, time_process 3687.53ms, time_perf 3686.14ms, mfu 36.51%
iter 60: loss 8.4624, time 3685.05ms, time_process 3686.37ms, time_perf 3685.05ms, mfu 36.52%
iter 70: loss 8.1154, time 3683.61ms, time_process 3684.84ms, time_perf 3683.60ms, mfu 36.52%
iter 80: loss 7.8047, time 3683.51ms, time_process 3684.87ms, time_perf 3683.51ms, mfu 36.52%
iter 90: loss 7.1153, time 3686.03ms, time_process 3687.20ms, time_perf 3686.03ms, mfu 36.52%
iter 100: loss 7.1352, time 3691.37ms, time_process 3692.64ms, time_perf 3691.37ms, mfu 36.52%
iter 110: loss 6.8472, time 3693.34ms, time_process 3694.70ms, time_perf 3693.34ms, mfu 36.51%
iter 120: loss 6.8255, time 3693.42ms, time_process 3694.60ms, time_perf 3693.42ms, mfu 36.51%
iter 130: loss 6.7894, time 3695.60ms, time_process 3696.88ms, time_perf 3695.60ms, mfu 36.50%
iter 140: loss 6.9766, time 3696.18ms, time_process 3697.39ms, time_perf 3696.18ms, mfu 36.49%
iter 150: loss 6.8920, time 3699.36ms, time_process 3700.50ms, time_perf 3699.36ms, mfu 36.49%
iter 160: loss 6.4685, time 3698.42ms, time_process 3699.69ms, time_perf 3698.42ms, mfu 36.48%
iter 170: loss 6.3822, time 3703.70ms, time_process 3705.08ms, time_perf 3703.70ms, mfu 36.47%
iter 180: loss 6.5240, time 3699.36ms, time_process 3700.71ms, time_perf 3699.36ms, mfu 36.46%
iter 190: loss 6.3127, time 3701.70ms, time_process 3702.84ms, time_perf 3701.70ms, mfu 36.45%
iter 200: loss 6.3359, time 3701.11ms, time_process 3702.32ms, time_perf 3701.11ms, mfu 36.44%
iter 210: loss 6.2822, time 3703.10ms, time_process 3704.48ms, time_perf 3703.10ms, mfu 36.44%
iter 220: loss 6.3661, time 3701.68ms, time_process 3702.91ms, time_perf 3701.67ms, mfu 36.43%
iter 230: loss 6.1614, time 3703.23ms, time_process 3704.44ms, time_perf 3703.23ms, mfu 36.42%
iter 240: loss 6.1062, time 3703.61ms, time_process 3704.68ms, time_perf 3703.61ms, mfu 36.42%
iter 250: loss 6.2962, time 3703.43ms, time_process 3704.65ms, time_perf 3703.43ms, mfu 36.41%
iter 260: loss 6.0260, time 3705.57ms, time_process 3706.73ms, time_perf 3705.57ms, mfu 36.40%
iter 270: loss 6.2178, time 3705.02ms, time_process 3706.38ms, time_perf 3705.02ms, mfu 36.40%
iter 280: loss 6.0526, time 3706.54ms, time_process 3707.74ms, time_perf 3706.54ms, mfu 36.39%
iter 290: loss 6.1016, time 3705.09ms, time_process 3706.28ms, time_perf 3705.09ms, mfu 36.39%
iter 300: loss 6.0528, time 3706.43ms, time_process 3707.61ms, time_perf 3706.43ms, mfu 36.38%
iter 310: loss 6.1256, time 3708.17ms, time_process 3709.44ms, time_perf 3708.17ms, mfu 36.37%
iter 320: loss 5.8299, time 3705.02ms, time_process 3706.22ms, time_perf 3705.02ms, mfu 36.37%
iter 330: loss 5.8203, time 3706.23ms, time_process 3707.49ms, time_perf 3706.23ms, mfu 36.37%
iter 340: loss 6.0507, time 3704.73ms, time_process 3706.09ms, time_perf 3704.73ms, mfu 36.37%
iter 350: loss 5.8395, time 3704.33ms, time_process 3705.66ms, time_perf 3704.33ms, mfu 36.36%
iter 360: loss 5.8109, time 3707.23ms, time_process 3708.40ms, time_perf 3707.23ms, mfu 36.36%
iter 370: loss 5.9700, time 3706.12ms, time_process 3707.39ms, time_perf 3706.12ms, mfu 36.36%
iter 380: loss 5.7201, time 3705.58ms, time_process 3706.77ms, time_perf 3705.58ms, mfu 36.36%
iter 390: loss 5.8138, time 3707.23ms, time_process 3708.44ms, time_perf 3707.23ms, mfu 36.35%
iter 400: loss 5.8807, time 3709.18ms, time_process 3710.40ms, time_perf 3709.18ms, mfu 36.35%
iter 410: loss 5.8625, time 3707.41ms, time_process 3708.58ms, time_perf 3707.41ms, mfu 36.35%
