Overriding config with config/train_gpt2.py:
# config for training GPT-2 (124M) down to very nice loss of ~2.85 on 1 node of 8X A100 40GB
# launch as the following (e.g. in a screen session) and wait ~5 days:
# $ torchrun --standalone --nproc_per_node=8 train.py config/train_gpt2.py

wandb_log = False
wandb_project = 'owt'
wandb_run_name='gpt2-124M'

# these make the total batch size be ~0.5M
# 12 batch size * 1024 block size * 5 gradaccum * 8 GPUs = 491,520
batch_size = 12
block_size = 1024
gradient_accumulation_steps = 5 * 8

# this makes total number of tokens be 300B
max_iters = 600000
lr_decay_iters = 600000

# eval stuff
eval_interval = 1000
eval_iters = 200
log_interval = 10

# weight decay
weight_decay = 1e-1

tokens per iteration will be: 491,520
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
number of parameters: 123.59M
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 25, with 19,200 parameters
Using AdamW+
compiling the model... (takes a ~minute)
step 0: train loss 10.9886, val loss 10.9897
iter 0: loss 10.9884, time 21864.38ms, time_process 21704.66ms, time_perf 21864.38ms, mfu -100.00%
iter 10: loss 10.9616, time 2932.03ms, time_process 2932.96ms, time_perf 2932.03ms, mfu 45.93%
iter 20: loss 9.8162, time 2926.21ms, time_process 2926.96ms, time_perf 2926.21ms, mfu 45.94%
iter 30: loss 9.4747, time 2911.54ms, time_process 2912.40ms, time_perf 2911.54ms, mfu 45.97%
iter 40: loss 9.1076, time 2900.33ms, time_process 2901.12ms, time_perf 2900.33ms, mfu 46.01%
iter 50: loss 8.9427, time 2930.51ms, time_process 2931.20ms, time_perf 2930.52ms, mfu 46.01%
iter 60: loss 8.4636, time 2939.67ms, time_process 2940.49ms, time_perf 2939.67ms, mfu 45.99%
iter 70: loss 8.1172, time 2944.95ms, time_process 2945.75ms, time_perf 2944.95ms, mfu 45.96%
iter 80: loss 7.8066, time 2952.86ms, time_process 2953.63ms, time_perf 2952.86ms, mfu 45.93%
iter 90: loss 7.1197, time 2919.54ms, time_process 2920.32ms, time_perf 2919.54ms, mfu 45.95%
iter 100: loss 7.1377, time 2935.93ms, time_process 2936.80ms, time_perf 2935.93ms, mfu 45.94%
iter 110: loss 6.8507, time 2943.25ms, time_process 2944.00ms, time_perf 2943.25ms, mfu 45.92%
iter 120: loss 6.8270, time 2953.46ms, time_process 2954.31ms, time_perf 2953.46ms, mfu 45.89%
iter 130: loss 6.7856, time 2957.19ms, time_process 2958.15ms, time_perf 2957.19ms, mfu 45.85%
iter 140: loss 6.9793, time 2966.94ms, time_process 2967.94ms, time_perf 2966.94ms, mfu 45.80%
iter 150: loss 6.8860, time 2970.65ms, time_process 2971.54ms, time_perf 2970.64ms, mfu 45.76%
iter 160: loss 6.4714, time 2980.58ms, time_process 2981.50ms, time_perf 2980.58ms, mfu 45.70%
iter 170: loss 6.4030, time 2979.97ms, time_process 2980.85ms, time_perf 2979.97ms, mfu 45.65%
iter 180: loss 6.5426, time 2979.35ms, time_process 2980.27ms, time_perf 2979.35ms, mfu 45.60%
iter 190: loss 6.3291, time 2981.02ms, time_process 2981.97ms, time_perf 2981.02ms, mfu 45.56%
iter 200: loss 6.3475, time 2993.05ms, time_process 2993.86ms, time_perf 2993.05ms, mfu 45.50%
iter 210: loss 6.2847, time 2996.19ms, time_process 2997.02ms, time_perf 2996.19ms, mfu 45.45%
