Overriding config with config/train_gpt2.py:
# config for training GPT-2 (124M) down to very nice loss of ~2.85 on 1 node of 8X A100 40GB
# launch as the following (e.g. in a screen session) and wait ~5 days:
# $ torchrun --standalone --nproc_per_node=8 train.py config/train_gpt2.py

wandb_log = False
wandb_project = 'owt'
wandb_run_name='gpt2-124M'

# these make the total batch size be ~0.5M
# 12 batch size * 1024 block size * 5 gradaccum * 8 GPUs = 491,520
batch_size = 12
block_size = 1024
gradient_accumulation_steps = 5 * 8

# this makes total number of tokens be 300B
max_iters = 600000
lr_decay_iters = 600000

# eval stuff
eval_interval = 1000
eval_iters = 200
log_interval = 10

# weight decay
weight_decay = 1e-1

tokens per iteration will be: 491,520
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
number of parameters: 123.59M
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 25, with 19,200 parameters
using fused AdamW: False
compiling the model... (takes a ~minute)
step 0: train loss 10.9548, val loss 10.9562
iter 0: loss 10.9578, time 37125.97ms, time_process 33021.20ms, time_perf 37125.96ms, mfu -100.00%
iter 10: loss 10.2309, time 4341.21ms, time_process 4231.06ms, time_perf 4341.21ms, mfu 31.02%
iter 20: loss 9.6741, time 4344.55ms, time_process 4236.89ms, time_perf 4344.55ms, mfu 31.02%
iter 30: loss 9.3534, time 4328.46ms, time_process 4225.46ms, time_perf 4328.46ms, mfu 31.03%
iter 40: loss 9.1470, time 4329.97ms, time_process 4232.08ms, time_perf 4329.97ms, mfu 31.03%
iter 50: loss 8.8363, time 4341.28ms, time_process 4246.72ms, time_perf 4341.28ms, mfu 31.03%
iter 60: loss 8.6572, time 4342.37ms, time_process 4250.79ms, time_perf 4342.37ms, mfu 31.03%
iter 70: loss 8.5800, time 4338.83ms, time_process 4251.53ms, time_perf 4338.83ms, mfu 31.03%
iter 80: loss 8.1525, time 4346.25ms, time_process 4257.76ms, time_perf 4346.25ms, mfu 31.03%
iter 90: loss 7.9005, time 3997.13ms, time_process 3915.18ms, time_perf 3997.13ms, mfu 31.29%
iter 100: loss 8.0554, time 4363.05ms, time_process 4278.85ms, time_perf 4363.05ms, mfu 31.25%
iter 110: loss 7.6042, time 4353.33ms, time_process 4279.56ms, time_perf 4353.33ms, mfu 31.22%
iter 120: loss 7.4238, time 4339.16ms, time_process 4259.97ms, time_perf 4339.16ms, mfu 31.20%
iter 130: loss 7.3682, time 4343.83ms, time_process 4271.47ms, time_perf 4343.83ms, mfu 31.18%
iter 140: loss 7.3134, time 4348.37ms, time_process 4277.95ms, time_perf 4348.37ms, mfu 31.16%
iter 150: loss 7.0192, time 4338.65ms, time_process 4269.42ms, time_perf 4338.65ms, mfu 31.15%
iter 160: loss 6.8250, time 4350.22ms, time_process 4281.71ms, time_perf 4350.22ms, mfu 31.13%
iter 170: loss 6.8102, time 4347.33ms, time_process 4285.71ms, time_perf 4347.32ms, mfu 31.11%
iter 180: loss 6.9252, time 4354.49ms, time_process 4293.92ms, time_perf 4354.49ms, mfu 31.09%
iter 190: loss 6.4172, time 4350.80ms, time_process 4289.74ms, time_perf 4350.80ms, mfu 31.08%
iter 200: loss 6.6043, time 4356.11ms, time_process 4299.46ms, time_perf 4356.11ms, mfu 31.06%
iter 210: loss 6.6791, time 4351.33ms, time_process 4297.52ms, time_perf 4351.33ms, mfu 31.05%
iter 220: loss 6.5027, time 4352.80ms, time_process 4302.96ms, time_perf 4352.80ms, mfu 31.04%
iter 230: loss 6.4437, time 4346.76ms, time_process 4294.85ms, time_perf 4346.76ms, mfu 31.03%
iter 240: loss 6.2117, time 4361.56ms, time_process 4309.29ms, time_perf 4361.56ms, mfu 31.02%
iter 250: loss 6.2939, time 4356.87ms, time_process 4307.18ms, time_perf 4356.87ms, mfu 31.01%
iter 260: loss 6.3904, time 4366.00ms, time_process 4318.91ms, time_perf 4366.00ms, mfu 30.99%
iter 270: loss 6.0448, time 4367.37ms, time_process 4323.44ms, time_perf 4367.37ms, mfu 30.97%
iter 280: loss 6.3692, time 4360.41ms, time_process 4314.76ms, time_perf 4360.41ms, mfu 30.96%
iter 290: loss 6.2767, time 4347.42ms, time_process 4303.40ms, time_perf 4347.42ms, mfu 30.97%
iter 300: loss 6.0321, time 4363.04ms, time_process 4321.35ms, time_perf 4363.03ms, mfu 30.96%
iter 310: loss 6.2367, time 4355.69ms, time_process 4315.53ms, time_perf 4355.69ms, mfu 30.95%
iter 320: loss 6.0489, time 4358.27ms, time_process 4319.85ms, time_perf 4358.27ms, mfu 30.95%
iter 330: loss 6.0776, time 4359.10ms, time_process 4319.07ms, time_perf 4359.10ms, mfu 30.94%
iter 340: loss 6.0177, time 4113.98ms, time_process 4075.84ms, time_perf 4113.97ms, mfu 31.12%
iter 350: loss 6.1381, time 4373.90ms, time_process 4337.49ms, time_perf 4373.90ms, mfu 31.09%
iter 360: loss 5.7737, time 4364.76ms, time_process 4331.06ms, time_perf 4364.77ms, mfu 31.06%
iter 370: loss 6.0599, time 4370.72ms, time_process 4336.91ms, time_perf 4370.72ms, mfu 31.04%
iter 380: loss 6.1207, time 4381.17ms, time_process 4350.53ms, time_perf 4381.17ms, mfu 31.01%
iter 390: loss 5.8505, time 4369.41ms, time_process 4339.90ms, time_perf 4369.41ms, mfu 30.99%
iter 400: loss 5.9092, time 4366.08ms, time_process 4333.72ms, time_perf 4366.08ms, mfu 30.97%
iter 410: loss 5.8159, time 4373.41ms, time_process 4337.72ms, time_perf 4373.41ms, mfu 30.96%
iter 420: loss 5.8978, time 4377.01ms, time_process 4346.65ms, time_perf 4377.01ms, mfu 30.94%
iter 430: loss 5.7785, time 4369.08ms, time_process 4338.57ms, time_perf 4369.08ms, mfu 30.93%
iter 440: loss 5.7104, time 4373.17ms, time_process 4346.39ms, time_perf 4373.17ms, mfu 30.91%
iter 450: loss 5.6258, time 4368.04ms, time_process 4343.77ms, time_perf 4368.04ms, mfu 30.90%
iter 460: loss 5.6397, time 4358.97ms, time_process 4335.86ms, time_perf 4358.97ms, mfu 30.90%
iter 470: loss 5.6746, time 4379.46ms, time_process 4353.77ms, time_perf 4379.46ms, mfu 30.89%
iter 480: loss 5.6831, time 4376.02ms, time_process 4351.90ms, time_perf 4376.02ms, mfu 30.88%
iter 490: loss 5.7698, time 4368.73ms, time_process 4344.80ms, time_perf 4368.73ms, mfu 30.87%
iter 500: loss 5.6822, time 4387.33ms, time_process 4358.63ms, time_perf 4387.33ms, mfu 30.85%
iter 510: loss 5.5334, time 4382.31ms, time_process 4356.98ms, time_perf 4382.31ms, mfu 30.84%
iter 520: loss 5.5436, time 4386.11ms, time_process 4363.30ms, time_perf 4386.11ms, mfu 30.83%
iter 530: loss 5.5107, time 4375.06ms, time_process 4355.67ms, time_perf 4375.06ms, mfu 30.82%
iter 540: loss 5.4265, time 4386.34ms, time_process 4367.66ms, time_perf 4386.34ms, mfu 30.81%
iter 550: loss 5.3440, time 4372.82ms, time_process 4352.48ms, time_perf 4372.82ms, mfu 30.81%
iter 560: loss 5.4575, time 4377.63ms, time_process 4359.96ms, time_perf 4377.63ms, mfu 30.80%
iter 570: loss 5.4355, time 4371.44ms, time_process 4354.30ms, time_perf 4371.44ms, mfu 30.80%
iter 580: loss 5.4406, time 4386.80ms, time_process 4369.11ms, time_perf 4386.80ms, mfu 30.79%
iter 590: loss 5.5033, time 4377.42ms, time_process 4359.35ms, time_perf 4377.42ms, mfu 30.79%
iter 600: loss 5.4661, time 4379.30ms, time_process 4361.90ms, time_perf 4379.30ms, mfu 30.79%
iter 610: loss 5.2448, time 4379.27ms, time_process 4363.07ms, time_perf 4379.27ms, mfu 30.78%
iter 620: loss 5.4605, time 4379.02ms, time_process 4354.48ms, time_perf 4379.02ms, mfu 30.78%
iter 630: loss 5.5189, time 4376.93ms, time_process 4360.39ms, time_perf 4376.93ms, mfu 30.78%
iter 640: loss 5.3004, time 4381.71ms, time_process 4367.78ms, time_perf 4381.72ms, mfu 30.77%
